Nome Civil;Nome para Urna;Numero;Partido;Coligação;Situação;Votação;% Válidos;Sexo;Estado Civil;Ocupacao;Cor/Raça;Data Nasc.;Idade;Instrucao;Bens;UF;foto;Alimentação do parlamentar;Aluguel de aeronaves;Aluguel de carros;Aluguel de embarcações;Assinatura de publicações;Combustíveis e lubrificantes;Consultorias, pesquisas e trabalhos técnicos;Cursos, palestras ou eventos;Divulgação de atividade parlamentar;Emissão de bilhete aéreo;Hospedagem fora do DF;Manutenção de escritório;Passagens aéreas;Passagens terrestres ou marítimas;Segurança particular;Serviços postais;Telefonia;Táxi, pedágio e estacionamento;Total CEAP;ADMINISTRAÇÃO PÚBLICA;AGRICULTURA;ARTE E CULTURA;CIÊNCIA E TECNOLOGIA;COMUNICAÇÕES;COMÉRCIO EXTERIOR;DEFESA E SEGURANÇA NACIONAL;DESENVOLVIMENTO REGIONAL;DESENVOLVIMENTO URBANO E TRÂNSITO;DESPORTO E LAZER;DIREITO CIVIL E PROCESSUAL CIVIL;DIREITO CONSTITUCIONAL;DIREITO DO TRABALHO E PROCESSUAL DO TRABALHO;DIREITO E DEFESA DO CONSUMIDOR;DIREITO E JUSTIÇA;DIREITO PENAL E PROCESSUAL PENAL;DIREITOS HUMANOS;EDUCAÇÃO;FINANÇAS PÚBLICAS E ORÇAMENTO;HOMENAGENS E DATAS COMEMORATIVAS;INDÚSTRIA;INFORMÁTICA;MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL;ORGANIZAÇÃO ADMINISTRATIVA DO ESTADO;ORGANIZAÇÃO POLÍTICA;POLÍTICA ECONÔMICA;POLÍTICA FUNDIÁRIA;PREVIDÊNCIA E ASSISTÊNCIA SOCIAL;PROCESSO LEGISLATIVO;RECURSOS HÍDRICOS;RELAÇÕES INTERNACIONAIS;SAÚDE;SEGURANÇA PÚBLICA;SISTEMA FINANCEIRO;TRABALHO E EMPREGO;TRIBUTAÇÃO;TURISMO;VIAÇÃO E TRANSPORTES;TOTAL PROPOSICAO;Profissao;Situacao na Legislatura Atual;Partido Atual;Atuacao;Atuacao em meses
CAJAR ONESIMO RIBEIRO NARDES;CAJAR NARDES;277.75;PR;PTB / PC do B / PR / PPL / PROS / PTC;Suplente;55434;0.93;MASCULINO;Solteiro(a);Veterinário;Branca;16/11/1965;52;Superior completo;415287.37;RS;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000887.jpg;3008.53;0.00;7509.25;0.00;0.00;7251.06;11817.25;0.00;16988.54;11889.80;2393.02;6697.25;143.70;60.71;0.00;962.14;1417.25;1201.00;71339.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-;Em Exercício;PR;17/5/2016 até 2/1/2017;8
AUGUSTO RODRIGUES COUTINHO DE MELO;AUGUSTO COUTINHO;324.04;SD;PSB / PMDB / PC do B / PV / PR / PSD / PPS / PSDB / SD / PPL / DEM / PROS / PP / PEN / PTC;Suplente;67918;1.51;MASCULINO;Casado(a);Deputado;Parda;22/10/1962;55;Superior completo;1505637.8;PE;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PE/foto/170000000042.jpg;797.03;0.00;7876.44;0.00;109.85;4671.74;750.00;0.00;10411.56;8147.19;680.94;12490.55;453.89;0.00;0.00;1777.94;2180.31;11.38;50358.8;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.08;0.04;0.00;0.00;0.00;0.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.00;0.00;0.00;0.00;0.04;0.04;0.00;0.00;0.00;0.46;Engenheiro Civil;Em Exercício;SD;4/2/2015 até 1/1/2017;24
SEBASTIAO SIBA MACHADO OLIVEIRA;SIBÁ MACHADO;69.11;PT;PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B;Eleito por QP;18395;4.61;MASCULINO;Casado(a);Deputado;Parda;24/01/1958;59;Superior completo;215026.8;AC;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/AC/foto/10000000171.jpg;34.44;2436.84;7905.40;0.00;95.68;4957.39;315.79;0.00;7314.75;11173.60;290.50;6808.76;182.06;0.00;0.00;71.30;3138.63;36.18;44761.33;0.00;0.00;0.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.11;Geográfo;Licenciado;PT;1/2/2015 até 15/8/2016;19
DAVI ALVES SILVA JUNIOR;DAVI ALVES SILVA JÚNIOR;315.86;PR;PMDB / DEM / PTB / PV / PRB / PR;Suplente;63706;2.04;MASCULINO;Casado(a);Servidor Público Federal;Branca;22/11/1976;41;Ensino Médio completo;135.0;MA;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/MA/foto/100000000586.jpg;0.00;0.00;7315.43;0.00;0.00;410.91;19357.14;0.00;9285.71;4342.27;0.00;2265.77;0.00;0.00;0.00;300.11;499.00;0.00;43776.35;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-;Suplência;PR;18/5/2016 até 25/11/2016;7
JOHNATHAN PEREIRA DE JESUS;JOHNATHAN DE JESUS;31.59;PRB;PSDB / PR / PRB / PSD / SD / PROS / PRP / PMDB / PSB / PTN;Eleito por QP;20677;8.68;MASCULINO;Solteiro(a);Deputado;Parda;03/09/1983;34;Superior completo;629320.63;RR;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RR/foto/230000000264.jpg;0.00;0.00;9625.00;0.00;0.00;4547.86;8375.00;0.00;13915.62;5213.05;215.14;13.03;0.00;0.00;0.00;272.84;616.61;0.00;42794.14;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.09;Empresário;Em Exercício;PRB;1/2/2015 ...;32
MANOEL ALVES DA SILVA JUNIOR;MANOEL JUNIOR;63.12;PMDB;PMDB;Eleito por média;105693;5.46;MASCULINO;Casado(a);Deputado;Branca;21/02/1964;53;Superior completo;1528793.86;PB;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PB/foto/150000000175.jpg;28.85;0.00;2195.75;0.00;0.00;5244.41;2753.62;0.00;14794.41;9980.83;0.00;2940.11;357.40;0.00;7.08;833.46;3355.52;0.00;42491.45;0.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.00;0.00;0.00;0.00;0.08;0.00;0.00;0.04;0.04;0.00;0.00;0.08;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.04;0.00;0.00;0.04;0.00;0.00;0.50;Médico;Vacância;PMDB;1/2/2015 até 1/1/2017;24
EDIO VIEIRA LOPES;EDIO LOPES;47.34;PMDB;PSDB / PR / PRB / PSD / SD / PROS / PRP / PMDB / PSB / PTN;Eleito por QP;15290;6.42;MASCULINO;Casado(a);Deputado;Preta;04/01/1952;65;Ensino Médio completo;397738.28;RR;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RR/foto/230000000261.jpg;20.27;1894.53;7649.09;171.88;0.00;3926.87;663.35;0.00;8114.69;13696.86;291.34;4420.74;580.96;0.00;0.00;93.31;826.60;10.24;42360.72;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.12;Servidor Público;Em Exercício;PR;1/2/2015 ...;32
AUDIVAL AMELIO DA SILVA NETO;VAL AMÉLIO;722.00;PRTB;PRTB / PPL / PMN;Suplente;58095;4.2;MASCULINO;Solteiro(a);Estudante, Bolsista, Estagiário e Assemelhados;Branca;11/12/1993;24;Superior incompleto;530000.0;AL;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/AL/foto/20000000044.jpg;744.91;0.00;6840.00;0.00;0.00;2785.28;6500.00;0.00;19465.08;4044.29;125.17;0.00;594.39;0.00;0.00;62.63;691.58;0.00;41853.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-;Suplência;PRTB;25/5/2016 até 22/9/2016;4
VINICIUS DE AZEVEDO GURGEL;VINÍCIUS GURGEL;69.44;PR;PR / PRB / PHS / PROS / PSDC / PEN / PV / PT do B;Eleito por QP;18661;4.83;MASCULINO;Casado(a);Deputado;Branca;31/07/1978;39;Superior completo;813329.17;AP;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/AP/foto/30000000338.jpg;0.00;0.00;6522.59;0.00;0.00;4459.84;2968.75;0.00;3187.50;7214.01;0.00;16690.00;22.70;0.00;0.00;60.18;216.13;0.00;41341.69;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.03;Contador;Em Exercício;PR;1/2/2015 ...;32
ALAN RICK MIRANDA;ALAN RICK;31.62;PRB;PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B;Eleito por média;17903;4.48;MASCULINO;Casado(a);Jornalista e Redator;Branca;23/10/1976;41;Superior completo;355000.0;AC;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/AC/foto/10000000173.jpg;413.19;156.25;4107.16;0.00;56.25;4273.24;3234.22;0.00;18880.31;6298.15;334.15;2131.14;128.76;0.00;0.00;316.40;872.40;5.19;41206.81;0.03;0.00;0.00;0.00;0.03;0.03;0.00;0.06;0.03;0.00;0.00;0.00;0.00;0.06;0.00;0.00;0.12;0.12;0.00;0.00;0.00;0.00;0.09;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.09;0.06;0.00;0.00;0.06;0.00;0.06;0.91;Administrador de Empresas,Jornalista;Em Exercício;DEM;1/2/2015 ...;32
