Partido Atual;Numero;Votação;% Válidos;Alimentação do parlamentar;Aluguel de aeronaves;Aluguel de carros;Aluguel de embarcações;Assinatura de publicações;Combustíveis e lubrificantes;Consultorias, pesquisas e trabalhos técnicos;Cursos, palestras ou eventos;Divulgação de atividade parlamentar;Emissão de bilhete aéreo;Hospedagem fora do DF;Manutenção de escritório;Passagens aéreas;Passagens terrestres ou marítimas;Segurança particular;Serviços postais;Telefonia;Táxi, pedágio e estacionamento;Total CEAP;ADMINISTRAÇÃO PÚBLICA;AGRICULTURA;ARTE E CULTURA;CIÊNCIA E TECNOLOGIA;COMUNICAÇÕES;COMÉRCIO EXTERIOR;DEFESA E SEGURANÇA NACIONAL;DESENVOLVIMENTO REGIONAL;DESENVOLVIMENTO URBANO E TRÂNSITO;DESPORTO E LAZER;DIREITO CIVIL E PROCESSUAL CIVIL;DIREITO CONSTITUCIONAL;DIREITO DO TRABALHO E PROCESSUAL DO TRABALHO;DIREITO E DEFESA DO CONSUMIDOR;DIREITO E JUSTIÇA;DIREITO PENAL E PROCESSUAL PENAL;DIREITOS HUMANOS;EDUCAÇÃO;FINANÇAS PÚBLICAS E ORÇAMENTO;HOMENAGENS E DATAS COMEMORATIVAS;INDÚSTRIA;INFORMÁTICA;MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL;ORGANIZAÇÃO ADMINISTRATIVA DO ESTADO;ORGANIZAÇÃO POLÍTICA;POLÍTICA ECONÔMICA;POLÍTICA FUNDIÁRIA;PREVIDÊNCIA E ASSISTÊNCIA SOCIAL;PROCESSO LEGISLATIVO;RECURSOS HÍDRICOS;RELAÇÕES INTERNACIONAIS;SAÚDE;SEGURANÇA PÚBLICA;SISTEMA FINANCEIRO;TRABALHO E EMPREGO;TRIBUTAÇÃO;TURISMO;VIAÇÃO E TRANSPORTES;TOTAL PROPOSICAO;Qtd
PMDB;13415,143662294236;7906451;3,07325;228,36969206339913;232,5878484869698;3769,37048590106;4,9913789062500005;51,74802361841364;2695,6032664852587;2484,4010879244793;25,2365546875;7195,318058064081;7119,606310403523;264,9817748801843;2687,81121919344;375,1255799356683;7,051371740301723;352,02189680316087;522,8726931424385;1763,4688891472604;61,72001586504632;29842,28614724843;0,05467200439958593;0,007276041666666666;0,0113299365942029;0,00703125;0,015121506211180125;0,000390625;0,0012239583333333334;0,0063281249999999995;0,03340405125058439;0,00827073628364389;0,028917868074891127;0,0012834821428571429;0,002802779377880184;0,02665745140822446;0,003683035714285714;0,04066996635610766;0,06532899844720497;0,019458656832298134;0,0065453869047619045;0,01083110119047619;0,021175595238095236;0,0;0,010339188664596275;0,0008370535714285714;0,007382440476190477;0,0;0,0015625;0,010677083333333334;0,006138392857142857;0,01999320652173913;0,0;0,06397693452380952;0,028307291666666668;0,007243303571428572;0,02679789454351166;0,029261160714285712;0,000390625;0,007153549305416415;0,5924631811758291;80
PT;8475,609468644438;7110590;2,556323529411765;238,42429484056223;284,7945346362229;3470,646383696211;0,4303079044117647;57,2332749017084;2805,6429488662293;2024,115046132154;1,956603860294118;6450,230170550559;7732,602835951375;296,66811509522296;4571,029243980515;207,73476133097688;54,01904512239679;184,63633152173912;455,9702003579321;1874,635877564154;234,8327541673277;30945,602730479994;0,01798844537815126;0,008517537449762512;0,002152670278637771;0,00045955882352941176;0,0061580882352941175;0,0;0,0006127450980392157;0,0013786764705882354;0,012254901960784312;0,009191176470588236;0,013020833333333332;0,00045955882352941176;0,001531862745098039;0,003063725490196078;0,00045955882352941176;0,00857843137254902;0,04182461027889417;0,011343846749226007;0,0013786764705882354;0,00941001400560224;0,003216911764705882;0,0;0,011029411764705883;0,0;0,00045955882352941176;0,0;0,001838235294117647;0,006433823529411764;0,006154092071611252;0,003216911764705882;0,0;0,009287464985994398;0,011488970588235295;0,0009191176470588235;0,0055147058823529415;0,006740196078431372;0,0;0,017003676470588234;0,23308799492336985;68
PSDB;20289,389576578753;7410094;2,9442372881355934;251,19726644108465;460,75142055084746;3026,651027898464;0,2378177966101695;77,06570041342778;2571,6527147568595;3077,836883890168;5,481991525423729;5638,788872117752;6666,671344575584;347,38901915361623;3819,077869111179;735,661172303837;7,212272245762712;307,5088590076544;571,2991900809592;1998,123780005151;187,64277170336103;29750,24997357773;0,033716445251169624;0,003959846650524616;0,0021892655367231634;0,0005296610169491525;0,0061511299435028245;0,0005296610169491525;0,0005296610169491525;0,0015889830508474577;0,014300847457627119;0,003707627118644068;0,006002824858757062;0,0006053268765133171;0,0005296610169491525;0,006583743393475488;0,0017655367231638416;0,010240112994350282;0,02409672863131037;0,01844556076644174;0,00743234007654456;0,014993881642323412;0,005150761483664947;0,0005296610169491525;0,006373018042646254;0,0;0,011193502824858757;0,0005296610169491525;0,0005296610169491525;0,011333606706761435;0,00547316384180791;0,009388049619258166;0,0;0,016366394538417737;0,004766949152542373;0,0049435028248587575;0,013082057590668852;0,019381426115029656;0,001059322033898305;0,004383575464083938;0,2723831583290601;59
PP;4724,627176139273;5462559;2,6255769230769235;271,2835219669816;498,16836372632747;4104,450639377499;1,5865384615384615;39,1049947198672;2649,6433081061896;3621,9386731371224;9,014423076923077;7526,607435709803;7202,797514708766;280,65057129946297;3027,1553406529424;220,95277347781027;4,500052496898262;81,7136681547619;654,3482941873131;1482,3289705492946;140,7639314788781;31817,009015288382;0,034067841880341884;0,017628205128205128;0,0031354827221762704;0,005649038461538461;0,02142539173789174;0,001201923076923077;0,002564102564102564;0,0007122507122507122;0,04520057488807489;0,0066016737891737886;0,013904845154845157;0,0019288003663003664;0,005974368373561922;0,012682514245014244;0,00436698717948718;0,04530359686609686;0,05357300815970171;0,031168579404466504;0,00500801282051282;0,008899954212454212;0,01613660197329552;0,0;0,014623397435897438;0,000641025641025641;0,006095467032967033;0,0006009615384615385;0,018028846153846152;0,014543269230769228;0,0034054487179487176;0,013644052706552705;0,0019230769230769232;0,032903110927304476;0,007162571225071224;0,0034054487179487176;0,018737917175417174;0,038988095238095224;0,0019230769230769232;0,006581959706959706;0,5203414790108339;52
PR;6261,294642857143;4952139;3,1011627906976735;292,7517005813953;487,2056686046512;4431,331381506091;4,055232558139535;44,259927325581394;2775,9275962070874;3271,4970286544853;2,5436046511627906;7910,995041528237;6565,756351744186;337,7528779069767;3903,000563745847;447,29194040697695;12,520726744186048;270,47425872093027;477,411393618494;1501,7527567829459;185,36464389534865;32921,892695182716;0,030523255813953487;0,0029069767441860465;0,0029069767441860465;0,0007267441860465116;0,00436046511627907;0,0;0,002180232558139535;0,003633720930232558;0,027616279069767442;0,005813953488372093;0,012596899224806201;0,0007267441860465116;0,0014534883720930232;0,006056201550387597;0,0029069767441860465;0,04893410852713179;0,020348837209302327;0,014534883720930232;0,0007267441860465116;0,01308139534883721;0,005087209302325582;0,0007267441860465116;0,0024224806201550387;0,0007267441860465116;0,00944767441860465;0,0;0,0007267441860465116;0,007267441860465116;0,0014534883720930232;0,007994186046511628;0,0007267441860465116;0,012354651162790697;0,015988372093023256;0,003633720930232558;0,01744186046511628;0,0188953488372093;0,0007267441860465116;0,00436046511627907;0,312015503875969;43
PSD;14704,127578671329;4365525;2,9278571428571434;193,24621533971973;946,6842478032879;3830,152984188927;51,40496279761904;53,37702830800152;2865,910534441748;4812,886608369309;11,238244047619048;6825,856027390268;6223,371477271244;281,8828938715054;3066,3070566278957;407,8769603011077;6,146810515873016;373,2045287698412;598,4906984979307;1616,0489646177234;127,18918160807445;32291,275424767697;0,05030088958660387;0,009672619047619048;0,002232142857142857;0,001488095238095238;0,033056972789115645;0,0;0,000744047619047619;0,005952380952380952;0,033482142857142856;0,015625;0,01488095238095238;0,0;0,000744047619047619;0,0392219387755102;0,002976190476190476;0,015731292517006803;0,0415249433106576;0,019805839002267574;0,00744047619047619;0,01488095238095238;0,0194515306122449;0,0;0,01636904761904762;0,0;0,00818452380952381;0,0;0,001488095238095238;0,013640873015873018;0,005952380952380952;0,011904761904761904;0,000744047619047619;0,02760062358276644;0,006696428571428571;0,014136904761904762;0,015625;0,026147959183673467;0,001488095238095238;0,00467687074829932;0,4838680664573522;42
PSB;11877,975256769372;3754341;3,3607317073170737;243,6573773556172;456,734524898374;4794,140341903225;0,9527439024390244;45,15691209349594;2702,341101342773;3167,5620316734417;37,96384146341463;6835,446726332809;6953,691500243396;297,6033903079524;3150,2092131484706;559,0060961817655;9,199314472740316;71,18748475609756;605,5111631396459;1500,4825713687915;133,73625950502162;31564,58259408946;0,045782520325203246;0,0038109756097560975;0,0022865853658536584;0,0007621951219512195;0,01524390243902439;0,0;0,0;0,003048780487804878;0,01753048780487805;0,026676829268292682;0,019867886178861788;0,0007621951219512195;0,0007621951219512195;0,012957317073170731;0,0022865853658536584;0,019817073170731708;0,016114982578397212;0,01840156794425087;0,003048780487804878;0,011541811846689894;0,003048780487804878;0,0;0,006148373983739837;0,001524390243902439;0,0038109756097560975;0,0022865853658536584;0,0;0,006859756097560976;0,010670731707317074;0,016877177700348432;0,0;0,018292682926829267;0,009146341463414634;0,006859756097560976;0,012195121951219513;0,023628048780487805;0,0007621951219512195;0,001524390243902439;0,34433797909407665;41
DEM;4042,5769009216588;3487633;2,8433333333333333;320,3403681835638;249,8030303030303;3842,7369871089936;9,00530303030303;45,58342344819159;2477,5477950879763;4017,3303386834937;0,23168560606060606;7744,981405602686;6656,470771423916;195,2673633658008;2612,3779209578506;531,7294170536004;1,1921875;474,01147095959595;509,6295917120515;1480,652807626961;117,75524350649377;31286,64711116057;0,038825757575757576;0,005681818181818182;0,002840909090909091;0,000946969696969697;0,015182062561094818;0,000946969696969697;0,004103535353535353;0,003787878787878788;0,01893939393939394;0,007575757575757576;0,026515151515151516;0,000946969696969697;0,000946969696969697;0,020517676767676764;0,000946969696969697;0,04640151515151515;0,026785714285714284;0,018022971652003908;0,006628787878787879;0,006628787878787879;0,007575757575757576;0,0;0,01578282828282828;0,001893939393939394;0,010416666666666666;0,000946969696969697;0,000946969696969697;0,010416666666666666;0,007575757575757576;0,002840909090909091;0,000946969696969697;0,02809343434343434;0,03061868686868687;0,000946969696969697;0,019886363636363636;0,017992424242424244;0,003787878787878788;0,004734848484848485;0,4185766070846716;33
PDT;4326,230275004267;2133574;2,992;286,706103884622;213,4630158730159;4445,669248183564;0,0;41,03792473118279;3067,6751760675875;4022,4742726382483;0,15625;7550,498324925753;7344,952223243305;190,88311932923713;2847,775785230842;395,043540978836;1,712294642857143;519,2159180875576;546,6372807155657;1471,5608271919273;89,9453537250385;33035,406659449145;0,04119047619047619;0,01625;0,0025;0,0;0,00125;0,00125;0,0;0,0075;0,016898148148148148;0,006666666666666666;0,013928571428571427;0,0025;0,004166666666666667;0,01652180406212664;0,00375;0,04330687830687831;0,04317460317460318;0,03450396825396825;0,005648148148148148;0,015;0,011666666666666667;0,0;0,0025;0,0012903225806451613;0,02125;0,0;0,0;0,01;0,010635560675883258;0,006428571428571428;0,0;0,021891534391534392;0,005178571428571428;0,005178571428571428;0,01480222734254992;0,02148148148148148;0,0;0,0037903225806451613;0,412099761051374;25
PRB;1813,788029100529;3721610;2,6727999999999996;264,5463892195768;587,8173750000001;3819,4423027777775;2,45875;21,817827777777776;2482,6722793650783;4371,766898544974;58,53791111111111;8954,326857804233;5883,265151124338;168,75210324074075;3988,42008994709;252,24903465608463;18,672150000000002;46,680975;421,124601521164;1474,8232358465605;104,33766514550267;32921,71159808201;0,03;0,0077314814814814815;0,0014814814814814814;0,0025;0,0077314814814814815;0,0;0,0025;0,00125;0,023743386243386243;0,0025;0,01375;0,00125;0,0029166666666666664;0,04083333333333334;0,0;0,04898148148148148;0,06911375661375661;0,013928571428571427;0,0025;0,012123015873015872;0,007916666666666666;0,0;0,00875;0,0;0,006481481481481481;0,0;0,0;0,0075;0,0077314814814814815;0,01;0,0;0,01625;0,0016666666666666666;0,00625;0,0175;0,015;0,00125;0,004166666666666667;0,39529761904761906;25
