;Votação;% Válidos;Alimentação do parlamentar;Aluguel de aeronaves;Aluguel de carros;Aluguel de embarcações;Assinatura de publicações;Combustíveis e lubrificantes;Consultorias, pesquisas e trabalhos técnicos;Cursos, palestras ou eventos;Divulgação de atividade parlamentar;Emissão de bilhete aéreo;Hospedagem fora do DF;Manutenção de escritório;Passagens aéreas;Passagens terrestres ou marítimas;Segurança particular;Serviços postais;Telefonia;Táxi, pedágio e estacionamento;Total CEAP;;ADMINISTRAÇÃO PÚBLICA;AGRICULTURA;ARTE E CULTURA;CIÊNCIA E TECNOLOGIA;COMUNICAÇÕES;COMÉRCIO EXTERIOR;DEFESA E SEGURANÇA NACIONAL;DESENVOLVIMENTO REGIONAL;DESENVOLVIMENTO URBANO E TRÂNSITO;DESPORTO E LAZER;DIREITO CIVIL E PROCESSUAL CIVIL;DIREITO CONSTITUCIONAL;DIREITO DO TRABALHO E PROCESSUAL DO TRABALHO;DIREITO E DEFESA DO CONSUMIDOR;DIREITO E JUSTIÇA;DIREITO PENAL E PROCESSUAL PENAL;DIREITOS HUMANOS;EDUCAÇÃO;FINANÇAS PÚBLICAS E ORÇAMENTO;HOMENAGENS E DATAS COMEMORATIVAS;INDÚSTRIA;INFORMÁTICA;MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL;ORGANIZAÇÃO ADMINISTRATIVA DO ESTADO;ORGANIZAÇÃO POLÍTICA;POLÍTICA ECONÔMICA;POLÍTICA FUNDIÁRIA;PREVIDÊNCIA E ASSISTÊNCIA SOCIAL;PROCESSO LEGISLATIVO;RECURSOS HÍDRICOS;RELAÇÕES INTERNACIONAIS;SAÚDE;SEGURANÇA PÚBLICA;SISTEMA FINANCEIRO;TRABALHO E EMPREGO;TRIBUTAÇÃO;TURISMO;VIAÇÃO E TRANSPORTES;TOTAL PROPOSICAO;Numero;Idade;Bens;Atuacao em meses
Votação;100,0;17,45602318734133;-4,234060484811508;0,5895623164340138;-6,085552846167639;5,439377800735431;0,5045224180597084;-6,174154598190402;-5,3384225475744085;-1,5303699546258265;-5,420439743444602;0,9488130562732822;-0,4397489705099614;0,2795953736110355;-3,1148364332339984;-3,3580459451630538;-2,1041847836016188;7,476010038496356;8,041383826715812;-2,2551983554660517;-3,4591242891195058;;-2,146103504349965;-1,1663907670055909;-4,440017330910976;-3,9664997359098444;-2,342128526320812;-0,45486094054245035;2,0427972582740663;-3,302137955731564;2,236158774196928;3,7412615849064017;-4,580047448274798;4,61539996702938;2,2565607566928216;5,3249404055284595;0,45722640428201516;-0,5065229735053314;-1,4113908750907609;-1,0106513358419529;5,381993295095815;2,385082209145412;-1,413696212630314;1,3154697589229885;4,4882689395817605;0,9303594033416636;1,2119393614620222;1,6347081132153427;0,23122475078337598;-1,001600161599466;-2,6094459586469076;-3,1757187230745427;-2,096622991971146;-1,9069585113341316;-1,7921637744836665;-3,689072597315667;-2,524544508959018;-1,6846549798443662;-2,364475378717953;0,9511835474176117;-0,7365346828119059;-2,5804954609245625;-2,1757800615794394;2,833304652314987;12,217958939082513
% Válidos;17,45602318734133;100,0;-20,39458699962211;22,203313266046322;4,318960385754237;8,253843704423067;-0,4392118069942313;3,6736520818273872;-0,4794292650364106;0,8281374445381163;3,357157174900538;-2,543996272480664;2,2591634444584985;-14,87299862920898;11,751161270020152;-7,003336626126493;-1,0032972327618774;-8,316823882281255;-5,661682484165358;-27,355506037907084;0,38814140635799593;;-1,3196321611675124;4,713986499765499;-3,0965685638975424;-4,417443219032605;3,2265692842859135;0,38870074554027345;-4,388799817636569;8,366910213672789;7,29870516745018;3,860866379306474;6,047940287731598;4,90227551988177;3,6648430657429434;0,4186036372617134;5,743673962838393;1,4121522508997784;2,4172243313586734;6,9231423173324576;6,9496228509967155;4,24055879663263;0,04007455040238914;3,6922832682763773;3,6547030308832986;7,123992708796785;11,556000702521228;-2,0097598443328724;-0,20557401480114884;0,7307607404199082;0,49051059975235656;-0,3611823953592025;-3,7226620291250665;-2,897708511197726;4,903628288432261;0,32240733334685057;9,491795014131675;1,3460158315982511;-5,307279444602366;9,022941614683827;3,8416347702472513;0,5462940216974996;-14,664917314898792;-4,9759408515926955;18,546481055615082
Alimentação do parlamentar;-4,234060484811508;-20,39458699962211;100,0;-11,166104485861183;1,0120867649173688;-3,2756055201749157;0,04353814582468693;9,412021574572972;-0,4918544606961184;-5,5075819708746625;-3,202121933710221;-2,999121304687511;21,014296633545836;2,5209579781650837;0,5232283212639324;4,954947314626232;-3,2559669611601345;7,164458486322592;1,5322645389770153;30,716595729802552;-1,1094535127434553;;1,670010703583134;-2,485802662979798;-0,31330241271549203;4,730683257232073;8,484788936738537;2,469487068850593;13,222755869913227;-6,669452118574359;8,555009233234745;-1,4054019532553543;1,013639919500048;0,30751509956170664;-3,957552826546452;0,20312495326476107;9,01115090868427;9,2211403609406;0,9942282279350854;2,052954260829908;-3,5334365859236714;3,3289794305336726;5,44797551378319;1,7235864758674633;-1,6450594788163824;4,949614879155539;-0,21621139171485154;0,042883068471093994;3,6751266167827636;5,694573443392733;4,383759494010227;-2,948328610273651;17,94962526812869;-0,13064767341177252;-0,057021384948288796;2,9487810388883777;1,7530187619074649;15,9495491685559;23,55009448225093;-1,416398056608324;4,031562828086798;-5,002051738403082;10,869890224773798;-2,9807095103312307;-3,96285501418788
Aluguel de aeronaves;0,5895623164340138;22,203313266046322;-11,166104485861183;100,0;-2,7743353609882284;-0,09507585618214383;-1,2278073271945928;7,021822563529502;-2,131125490427378;1,9888765421874626;-0,849464578984914;-0,6451598458186633;16,630500806949552;-9,073477933752159;2,067503405846717;-1,7079986098113116;-1,358143558356014;-3,2848197914530237;0,5864136700081714;-12,69615668767903;0,17428983582501748;;-1,9030379025924107;-2,505090328619058;-1,8294379089200001;-1,5599961867691803;-3,113061594072642;-2,7694428441267678;-3,6538272263791005;12,591854541927844;-3,7429916962691294;-1,5943699325781082;-3,4943930025693106;-0,879447554728963;-1,4955051394801067;-3,0577795431037336;-2,2396705856045567;-5,138883113869636;-3,6219977746655205;-2,8353027998486398;-0,9002805082016214;-3,371961795370044;-5,573871882543435;3,2137698861133552;-4,0543049144647405;0,8260803341303237;0,608339341373487;0,41367012517172164;-1,0744455242219746;-5,2800441095896415;-3,6862923728638144;0,42044227963944114;-2,7945731043952633;-1,819401539472269;-2,601932146721635;-5,545030367442185;-5,228016020173054;-4,312391745925762;-3,4160660769364144;-1,2267006289116653;-4,727910185374398;-2,567456299570169;3,442718767940758;-0,48676750574364336;8,547662828349715
Aluguel de carros;-6,085552846167639;4,318960385754237;1,0120867649173688;-2,7743353609882284;100,0;1,7195737974030205;84,52828860362096;80,20333221697572;87,8272122542899;-3,1892986140467845;89,68820907308441;91,73764458203657;1,0098949321163941;9,271939887083052;-0,10064791310108753;0,9162373692403479;92,73319401546306;11,77650592882727;76,43163130262019;-3,70472480898053;94,85215041082333;;-3,5666817057080156;-0,3054655644157179;-1,0998904162339305;-2,1308914682160807;-2,15653528069403;0,8278046948478085;-4,025093621235124;-0,2802408456317015;-1,932374890497064;-2,06489773234122;-1,9161943867591007;-3,460346908109703;-3,033960290323475;69,53682513323687;-0,8611828017215106;-4,078201083979172;-3,6193332266442333;-2,0048578072762293;-2,664940446439419;-2,371637797211874;-2,409485881316367;-0,27470924964041565;-2,2414721796990533;0,4988951457666393;-1,747889730780485;-2,0815153583188475;0,3171986250488688;-0,8034121460057435;-2,4555018487334443;-1,1070364653146194;-2,275660886578135;-2,470208369549808;-2,632006116251488;-0,9732785746020154;-1,2000595450851819;-3,058311133446747;-2,0051661783631496;-2,7086616621762536;1,7012133801444143;0,8768219454890129;-8,67391097478679;-3,4511942843769514;-10,120204918653709
Aluguel de embarcações;5,439377800735431;8,253843704423067;-3,2756055201749157;-0,09507585618214383;1,7195737974030205;100,0;-1,7088054576738418;0,819846418004217;-0,44752179798723846;-0,9337664870038219;0,5616913183277892;-0,38992423348093097;-1,0045828569950583;-1,1565691256163744;0,0836334136173356;-0,9725592986761915;0,5046438363551968;-3,0401687142373124;-3,874121780745964;-1,589277243060933;0,2451534426145559;;-1,6866048219636036;-1,7107903624422345;-0,752888721193705;-0,5425202880847176;-1,1856170358261686;-0,3938040487595625;12,756182848010944;-1,6904892662960085;-2,0745158942063076;-0,5189667844903202;-1,6348410521606318;-1,2142406772933596;-1,4195100181597162;-1,2416469518841926;-1,4904507799234517;0,5259117896818211;-0,5718506440248088;-2,2151334935904066;-1,9895098813924361;-2,9199025736921245;-1,6636491212426596;-0,38068248166420987;-1,4791349766053548;-0,8557033446527045;-1,0827954534515598;-0,6812701457992864;-0,1460669291919309;-1,9169828216190097;-1,0174162582879078;-1,0710660702119699;-0,6221312260106854;-0,8292221219392378;0,2940768198040757;-1,7229701806030018;-2,447081368434656;-1,9530776783216062;-0,6859406320870337;-0,6035028937836899;-1,6722126883720494;-0,581435049638716;0,3416841048655178;-1,5035301675007746;3,3820769962609196
Assinatura de publicações;0,5045224180597084;-0,4392118069942313;0,04353814582468693;-1,2278073271945928;84,52828860362096;-1,7088054576738418;100,0;71,00625573376526;78,93863991791936;-0,030385175846226523;82,06303209646522;86,2241543831234;3,8497135900030877;19,61158336315463;0,9249687859391391;-0,7779432821534462;85,67144736764294;18,474132529610863;76,42300974349284;4,641154370279513;87,18759378889172;;-1,859755331864222;-0,2478360782393433;-1,5950988655223868;0,7423150220534611;-1,8468449056804912;0,014877038838293557;3,698428300285915;0,5307784526457706;-1,600121122387562;-1,1423878959907339;-3,8434931322657455;-3,235968838916064;-3,312837827131178;62,638853421510476;1,8125474209745651;-0,10968172888620568;-1,9508683797105024;-1,2802869626726512;1,3994422629194119;-1,5309177135538397;-1,5789198481246867;-0,010037193890402902;3,816281858894224;2,9170304451334466;-1,1727641308330852;0,9401855690827293;1,780373332033635;-1,5539448454461045;-0,11427472174934689;-1,2305548091529885;4,761579608858354;-1,9092395208977493;-1,4319764835890203;-1,4253620265989682;-1,829865834195236;1,1961070253437378;5,8929925625450625;-1,6606405193747418;3,4007798494938157;2,0195678177476806;-1,1562500819306978;0,47072951069836877;-9,708901962285738
Combustíveis e lubrificantes;-6,174154598190402;3,6736520818273872;9,412021574572972;7,021822563529502;80,20333221697572;0,819846418004217;71,00625573376526;100,0;74,04335436990233;-3,5549454602325223;77,18535627846825;76,09579625344831;8,538030423226266;6,98383481229948;-4,7897177904170265;6,181673321520036;77,67277660513659;14,297391284582023;73,83031063780788;3,1318967046738555;81,03897346967088;;-4,2995622712773836;3,4073579712051356;-4,4868929618825035;-4,1433457718068505;3,0592043619400493;-0,3016466396067112;-2,3958152547088276;3,9710492711286594;-1,8856872971517527;-5,378821448582434;-5,382574819427653;-2,8872323597276766;-2,5281737899849923;59,31803149053197;-2,749631952867457;-5,6919384244026245;-6,093968137576413;-2,50595019434392;-0,5583894395320984;3,083930345936699;-4,188412795268784;-1,621047191061906;-4,624656365102895;0,5622445412724102;-2,4848306568355754;-1,6996584278975473;0,6296562976511395;-4,5921543125350315;1,6422370023294066;-2,4252002350465296;-1,6974604220241867;-4,093175843042399;-6,7631521804415895;1,3790134621506218;-1,5732973812593218;-3,7441655958009474;-0,528759590311285;-5,390617005964062;-1,3385205978559602;-5,107464474894668;-1,1388287021063994;2,4371939133889198;1,4122572146407897
Consultorias, pesquisas e trabalhos técnicos;-5,3384225475744085;-0,4794292650364106;-0,4918544606961184;-2,131125490427378;87,8272122542899;-0,44752179798723846;78,93863991791936;74,04335436990233;100,0;-1,05031507037382;91,71069142217527;90,03495268085896;-4,77341451638054;-8,369538612334017;-3,984063872410489;-3,0893211380070027;93,97360368004982;6,907300808311283;72,43328467726062;-3,507942338791633;94,43321123486551;;-2,398294941705825;-0,9481660555332613;-2,0180362382449437;-0,31787362629429866;1,5287800426462292;-1,9351714547632626;-1,2507780766138419;2,782632782175853;-3,6562643924364653;-1,6357548514699047;-2,6627490185944507;-0,8872979939371238;0,9563576896406828;70,3628922342065;-1,4984919833649786;-1,9117794218249426;-2,3717422753051762;0,3511905743187377;0,6298965075256263;-3,6472821807806284;-1,6689435192531026;-1,6725443012342849;-0,572138334832028;-1,8057357887104102;0,2847998669349412;0,6933310146870749;-1,5059167282872357;-1,319405115401734;-0,988600009966699;-2,348939547038743;-0,06570806344179221;-1,6985365467705529;-1,4920977273391334;-2,0171178726061454;-1,5361726556151558;-0,7464837501338633;0,14421231613659868;-1,849737319301119;3,138972219615768;1,533324383539088;-11,361656307339265;-1,0769662315757602;-13,5112006058872
Cursos, palestras ou eventos;-1,5303699546258265;0,8281374445381163;-5,5075819708746625;1,9888765421874626;-3,1892986140467845;-0,9337664870038219;-0,030385175846226523;-3,5549454602325223;-1,05031507037382;100,0;0,8847845215103475;0,6912173366286687;-0,3080976823628508;-2,370511575978247;-0,7948666278927232;-0,6554679314700443;-0,8172727199135884;4,082209895051734;0,9296905824231282;-1,4500269688162672;-0,2985431737421719;;-2,293703823447355;-0,7062648472623253;1,9392046303671535;-1,208059043263211;1,0295861066546446;-1,4733070577577227;-2,0969519205742384;-3,5991230498270577;-0,45564928927274817;-0,3668080309066543;-3,1135923590127588;-2,068024172145548;-0,4480836702958191;-1,348739941562432;-3,318866746130099;-2,1139340539640465;2,166133382713883;-0,8664333187746222;0,8132991240841252;12,03179136923108;1,072523238978188;-0,8476861136565076;-2,734884243271648;-1,9054405642740337;0,7470267086600834;-1,5170207983255735;-0,9119145054793292;-2,02647760082922;1,9316930365861775;-0,9637174726226253;-1,385332991567874;0,5496485898365171;-1,7569527322458736;-2,8060165468465166;-1,9865829668262704;0,4592332290732892;-1,8391390492398931;-2,0144461522585857;-0,856278326283162;-1,4787333307785133;-4,380602522218796;-2,815220960879463;4,870442302635788
