Nome Civil;Partido;Coligação;Situação;Votação;% Válidos;Alimentação do parlamentar;Aluguel de aeronaves;Aluguel de carros;Aluguel de embarcações;Assinatura de publicações;Combustíveis e lubrificantes;Consultorias, pesquisas e trabalhos técnicos;Cursos, palestras ou eventos;Divulgação de atividade parlamentar;Emissão de bilhete aéreo;Hospedagem fora do DF;Manutenção de escritório;Passagens aéreas;Passagens terrestres ou marítimas;Segurança particular;Serviços postais;Telefonia;Táxi, pedágio e estacionamento;Total CEAP;;ADMINISTRAÇÃO PÚBLICA;AGRICULTURA;ARTE E CULTURA;CIÊNCIA E TECNOLOGIA;COMUNICAÇÕES;COMÉRCIO EXTERIOR;DEFESA E SEGURANÇA NACIONAL;DESENVOLVIMENTO REGIONAL;DESENVOLVIMENTO URBANO E TRÂNSITO;DESPORTO E LAZER;DIREITO CIVIL E PROCESSUAL CIVIL;DIREITO CONSTITUCIONAL;DIREITO DO TRABALHO E PROCESSUAL DO TRABALHO;DIREITO E DEFESA DO CONSUMIDOR;DIREITO E JUSTIÇA;DIREITO PENAL E PROCESSUAL PENAL;DIREITOS HUMANOS;EDUCAÇÃO;FINANÇAS PÚBLICAS E ORÇAMENTO;HOMENAGENS E DATAS COMEMORATIVAS;INDÚSTRIA;INFORMÁTICA;MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL;ORGANIZAÇÃO ADMINISTRATIVA DO ESTADO;ORGANIZAÇÃO POLÍTICA;POLÍTICA ECONÔMICA;POLÍTICA FUNDIÁRIA;PREVIDÊNCIA E ASSISTÊNCIA SOCIAL;PROCESSO LEGISLATIVO;RECURSOS HÍDRICOS;RELAÇÕES INTERNACIONAIS;SAÚDE;SEGURANÇA PÚBLICA;SISTEMA FINANCEIRO;TRABALHO E EMPREGO;TRIBUTAÇÃO;TURISMO;VIAÇÃO E TRANSPORTES;TOTAL PROPOSICAO;Profissao;Situacao na Legislatura Atual;Partido Atual;Nome para Urna;Numero;Sexo;Estado Civil;Ocupacao;Cor/Raça;Data Nasc.;Idade;Instrucao;Bens;UF;foto;Atuacao;Atuacao em meses
JOSE ALBERTO OLIVEIRA VELOSO FILHO;PMDB;PMDB / DEM / PTB / PV / PRB / PR;Suplente;67885;2.17;0.00;0.00;223184.55;0.00;3937.20;47816.88;287455.97;0.00;614700.00;399434.18;0.00;755.00;0.00;0.00;314666.67;3026.98;38519.93;0.00;1933497.37;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.67;Bacharel em Direito;Em Exercício;PMDB;ALBERTO FILHO;2536.67;MASCULINO;Solteiro(a);Deputado;Preta;10/02/1987;30;Superior completo;523000.0;MA;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/MA/foto/100000000563.jpg;3/8/2017 ...;0.6
NORMA AYUB ALVES;DEM;PMDB / DEM / PSDB / SD / PROS;Suplente;64969;3.62;0.00;0.00;47866.42;0.00;1231.30;9833.87;0.00;0.00;0.00;45697.03;626.17;61979.32;4426.92;0.00;0.00;3735.65;4266.47;333.33;179996.47;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-;Em Exercício;DEM;NORMA AYUB;4166.67;FEMININO;Solteiro(a);Servidor Público Estadual;Branca;07/09/1959;58;Superior completo;1649034.34;ES;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/ES/foto/80000000471.jpg;3/8/2017 ...;0.6
CAJAR ONESIMO RIBEIRO NARDES;PR;PTB / PC do B / PR / PPL / PROS / PTC;Suplente;55434;0.93;3137.97;0.00;7832.33;0.00;0.00;7563.04;12325.68;0.00;17719.47;12401.35;2495.98;6985.40;149.88;63.32;0.00;1003.53;1478.23;1252.67;74408.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-;Em Exercício;PR;CAJAR NARDES;289.70;MASCULINO;Solteiro(a);Veterinário;Branca;16/11/1965;52;Superior completo;415287.37;RS;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000887.jpg;17/5/2016 até 2/1/2017;7.67
ADEMIR CAMILO PRATES RODRIGUES;PROS;PT / PMDB / PC do B / PROS / PRB;Suplente;56305;0.56;918.37;30.67;12146.48;0.00;0.00;5213.55;2085.89;0.00;21743.87;14274.80;261.66;1538.71;872.45;1344.45;124.85;372.87;4302.51;78.05;65309.18;0.00;0.06;0.00;0.06;0.00;0.00;0.00;0.00;0.00;0.06;0.00;0.06;0.00;0.00;0.00;0.00;0.00;0.00;0.06;0.00;0.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.37;Médico, Advogado;Em Exercício;PODE;ADEMIR CAMILO;552.76;MASCULINO;Casado(a);Deputado;Parda;30/05/1964;53;Superior completo;1721398.34;MG;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/MG/foto/130000000833.jpg;19/4/2016 ...;16.3
ROBERTO SERGIO RIBEIRO COUTINHO TEIXEIRA;PP;PSB / PMDB / PC do B / PV / PR / PSD / PPS / PSDB / SD / PPL / DEM / PROS / PP / PEN / PTC;Suplente;16181;0.36;0.00;0.00;0.00;0.00;0.00;6510.64;0.00;0.00;40425.53;8191.72;0.00;0.00;1405.70;0.00;0.00;0.00;1952.51;0.00;58486.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Odontólogo;Em Exercício;PP;ROBERTO TEIXEIRA;2387.23;MASCULINO;Casado(a);Deputado;Parda;02/10/1961;56;Superior completo;952460.04;PE;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PE/foto/170000000059.jpg;17/5/2016 até 31/5/2016;0.47
AUGUSTO RODRIGUES COUTINHO DE MELO;SD;PSB / PMDB / PC do B / PV / PR / PSD / PPS / PSDB / SD / PPL / DEM / PROS / PP / PEN / PTC;Suplente;67918;1.51;823.45;0.00;8137.52;0.00;113.49;4826.59;774.86;0.00;10756.67;8417.24;703.51;12904.57;468.93;0.00;0.00;1836.87;2252.58;11.75;52028.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.09;0.04;0.00;0.00;0.00;0.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.00;0.00;0.00;0.00;0.04;0.04;0.00;0.00;0.00;0.47;Engenheiro Civil;Em Exercício;SD;AUGUSTO COUTINHO;334.78;MASCULINO;Casado(a);Deputado;Parda;22/10/1962;55;Superior completo;1505637.8;PE;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PE/foto/170000000042.jpg;4/2/2015 até 1/1/2017;23.23
DAVI ALVES SILVA JUNIOR;PR;PMDB / DEM / PTB / PV / PRB / PR;Suplente;63706;2.04;0.00;0.00;8038.93;0.00;0.00;451.55;21271.59;0.00;10204.08;4771.73;0.00;2489.86;0.00;0.00;0.00;329.79;548.35;0.00;48105.88;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-;Em Exercício;PR;DAVI ALVES SILVA JÚNIOR;347.10;MASCULINO;Casado(a);Servidor Público Federal;Branca;22/11/1976;41;Ensino Médio completo;135.0;MA;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/MA/foto/100000000586.jpg;18/5/2016 até 25/11/2016;6.37
LUCIANO FRED BRAGA PENHA;DEM;DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC;Suplente;61899;0.93;1160.87;0.00;6692.31;0.00;0.00;5133.03;10834.15;0.00;11846.15;8005.26;438.18;360.92;1258.98;0.00;0.00;105.41;454.21;355.20;46644.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-;Em Exercício;PRB;LUCIANO BRAGA;389.69;MASCULINO;Casado(a);Outros;Branca;31/08/1967;50;Superior incompleto;993938.78;BA;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000634.jpg;7/2/2017 ...;6.5
SEBASTIAO SIBA MACHADO OLIVEIRA;PT;PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B;Eleito por QP;18395;4.61;34.99;2475.94;8032.22;0.00;97.22;5036.92;320.86;0.00;7432.10;11352.85;295.16;6917.99;184.98;0.00;0.00;72.44;3188.98;36.76;45479.42;0.00;0.00;0.00;0.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.11;Geográfo;Em Exercício;PT;SIBÁ MACHADO;70.21;MASCULINO;Casado(a);Deputado;Parda;24/01/1958;59;Superior completo;215026.8;AC;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/AC/foto/10000000171.jpg;1/2/2015 até 15/8/2016;18.7
ANTONIO BALHMANN CARDOSO NUNES FILHO;PROS;PRB / PP / PDT / PT / PTB / PSL / PHS / PSD / PC do B / SD / PROS;Eleito por QP;87666;2.01;114.77;1564.52;661.29;0.00;0.00;2117.13;21774.19;0.00;4838.71;11048.83;0.00;70.97;224.14;0.00;0.00;1551.59;1103.22;0.00;45069.35;0.00;0.00;0.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.32;Engenheiro Mecânico;Licenciado;PDT;BALMAN;1451.61;MASCULINO;Casado(a);Engenheiro;Branca;22/08/1949;68;Superior completo;509778.17;CE;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/CE/foto/60000000774.jpg;1/2/2015 até 6/8/2015;6.2
