Nome Civil;Partido;Coligação;Situação;Votação;% Válidos;Alimentação do parlamentar;Aluguel de aeronaves;Aluguel de carros;Aluguel de embarcações;Assinatura de publicações;Combustíveis e lubrificantes;Consultorias, pesquisas e trabalhos técnicos;Cursos, palestras ou eventos;Divulgação de atividade parlamentar;Emissão de bilhete aéreo;Hospedagem fora do DF;Manutenção de escritório;Passagens aéreas;Passagens terrestres ou marítimas;Segurança particular;Serviços postais;Telefonia;Táxi, pedágio e estacionamento;Total CEAP;;ADMINISTRAÇÃO PÚBLICA;AGRICULTURA;ARTE E CULTURA;CIÊNCIA E TECNOLOGIA;COMUNICAÇÕES;COMÉRCIO EXTERIOR;DEFESA E SEGURANÇA NACIONAL;DESENVOLVIMENTO REGIONAL;DESENVOLVIMENTO URBANO E TRÂNSITO;DESPORTO E LAZER;DIREITO CIVIL E PROCESSUAL CIVIL;DIREITO CONSTITUCIONAL;DIREITO DO TRABALHO E PROCESSUAL DO TRABALHO;DIREITO E DEFESA DO CONSUMIDOR;DIREITO E JUSTIÇA;DIREITO PENAL E PROCESSUAL PENAL;DIREITOS HUMANOS;EDUCAÇÃO;FINANÇAS PÚBLICAS E ORÇAMENTO;HOMENAGENS E DATAS COMEMORATIVAS;INDÚSTRIA;INFORMÁTICA;MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL;ORGANIZAÇÃO ADMINISTRATIVA DO ESTADO;ORGANIZAÇÃO POLÍTICA;POLÍTICA ECONÔMICA;POLÍTICA FUNDIÁRIA;PREVIDÊNCIA E ASSISTÊNCIA SOCIAL;PROCESSO LEGISLATIVO;RECURSOS HÍDRICOS;RELAÇÕES INTERNACIONAIS;SAÚDE;SEGURANÇA PÚBLICA;SISTEMA FINANCEIRO;TRABALHO E EMPREGO;TRIBUTAÇÃO;TURISMO;VIAÇÃO E TRANSPORTES;TOTAL PROPOSICAO;Profissao;Situacao na Legislatura Atual;Partido Atual;Nome para Urna;Numero;Sexo;Estado Civil;Ocupacao;Cor/Raça;Data Nasc.;Idade;Instrucao;Bens;UF;foto;Atuacao;Atuacao em meses
JOHNATHAN PEREIRA DE JESUS;PRB;PSDB / PR / PRB / PSD / SD / PROS / PRP / PMDB / PSB / PTN;Eleito por QP;20677;8.68;0.0;0.0;308000.0;0.0;0.0;145531.42;268000.0;0.0;445300.0;166817.44;6884.4;416.8;0.0;0.0;0.0;8730.77;19731.53;0.0;1369412.36;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;Empresário;Em Exercício;PRB;JOHNATHAN DE JESUS;1011;MASCULINO;Solteiro(a);Deputado;Parda;03/09/1983;34;Superior completo;629320.63;RR;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RR/foto/230000000264.jpg;1/2/2015 ...;31.07
EDIO VIEIRA LOPES;PMDB;PSDB / PR / PRB / PSD / SD / PROS / PRP / PMDB / PSB / PTN;Eleito por QP;15290;6.42;648.75;60625.0;244770.85;5500.0;0.0;125659.81;21227.1;0.0;259670.0;438299.65;9322.74;141463.6;18590.72;0.0;0.0;2986.0;26451.32;327.53;1355543.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;4;Servidor Público;Em Exercício;PMDB;EDIO LOPES;1515;MASCULINO;Casado(a);Deputado;Preta;04/01/1952;65;Ensino Médio completo;397738.28;RR;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RR/foto/230000000261.jpg;1/2/2015 ...;31.07
VINICIUS DE AZEVEDO GURGEL;PR;PR / PRB / PHS / PROS / PSDC / PEN / PV / PT do B;Eleito por QP;18661;4.83;0.0;0.0;208722.8;0.0;0.0;142714.78;95000.0;0.0;102000.0;230848.25;0.0;534080.0;726.33;0.0;0.0;1925.88;6916.04;0.0;1322934.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;Contador;Em Exercício;PR;VINÍCIUS GURGEL;2222;MASCULINO;Casado(a);Deputado;Branca;31/07/1978;39;Superior completo;813329.17;AP;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/AP/foto/30000000338.jpg;1/2/2015 ...;31.07
ALAN RICK MIRANDA;PRB;PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B;Eleito por média;17903;4.48;13222.13;5000.0;131429.02;0.0;1800.0;136743.65;103495.0;0.0;604170.0;201540.87;10692.75;68196.47;4120.24;0.0;0.0;10124.75;27916.95;166.0;1318617.83;0;1;0;0;0;1;1;0;2;1;0;0;0;0;2;0;0;4;4;0;0;0;0;3;0;0;0;0;1;0;0;0;3;2;0;0;2;0;2;29;Administrador de Empresas,Jornalista;Em Exercício;DEM;ALAN RICK;1012;MASCULINO;Casado(a);Jornalista e Redator;Branca;23/10/1976;41;Superior completo;355000.0;AC;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/AC/foto/10000000173.jpg;1/2/2015 ...;31.07
NILTON BALBINO;PTB;PMDB / PRTB / PC do B / PDT / PRP / PSB / PTB / PSL / PTN;Eleito por QP;42353;5.3;0.0;0.0;289000.0;0.0;0.0;84023.23;0.0;0.0;572093.14;264098.07;0.0;21308.7;9925.95;0.0;0.0;9666.95;66091.96;0.0;1316208.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Empresário;Em Exercício;PTB;NILTON CAPIXABA;1406;MASCULINO;Casado(a);Deputado;Branca;09/02/1960;57;Superior completo;159852.07;RO;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RO/foto/220000000247.jpg;1/2/2015 ...;31.07
HIRAN MANUEL GONCALVES DA SILVA;PMN;PRTB / PHS / PPL / PMN / PEN / PSDC / PT do B / PSC / PSL / PPS;Eleito por QP;9048;3.8;6082.18;0.0;198360.04;0.0;0.0;91796.9;90700.0;0.0;414500.37;178339.78;8504.88;149047.28;7325.11;0.0;84700.0;41516.54;38393.48;723.96;1309990.52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;5;Médico Legista,Médico(a);Em Exercício;PP;DR. HIRAN GONÇALVES;3333;MASCULINO;Divorciado(a);Médico;Parda;19/06/1957;60;Superior completo;765556.66;RR;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RR/foto/230000000181.jpg;1/2/2015 ...;31.07
ABEL SALVADOR MESQUITA JUNIOR;PDT;PT / PDT / PV / PTC / PC do B;Eleito por QP;8834;3.71;234.72;0.0;168537.1;9500.0;0.0;100550.95;287000.0;0.0;315000.0;202070.81;0.0;2261.57;1926.98;0.0;178700.0;1079.85;27759.1;21.7;1294642.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empresário;Em Exercício;DEM;ABEL GALINHA;1234;MASCULINO;Casado(a);Empresário;Branca;29/03/1962;55;Superior incompleto;1907500.0;RR;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RR/foto/230000000452.jpg;1/2/2015 ...;31.07
REMIDIO MONAI MONTESSI;PR;PSDB / PR / PRB / PSD / SD / PROS / PRP / PMDB / PSB / PTN;Eleito por QP;15492;6.51;0.0;0.0;289999.91;0.0;2354.25;163298.11;16568.0;0.0;303911.0;217220.64;3490.92;13062.96;0.0;0.0;237000.0;2510.15;44703.23;0.0;1294119.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;Em Exercício;PR;REMIDIO DA AMATUR;2233;MASCULINO;Divorciado(a);Deputado;Branca;07/08/1966;51;Ensino Médio completo;1640211.82;RR;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RR/foto/230000000268.jpg;1/2/2015 ...;31.07
JESSICA ROJAS SALES;PMDB;PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT do B / SD;Eleito por QP;20339;5.09;7867.1;72000.0;10315.33;11800.0;0.0;150056.29;0.0;0.0;698725.0;281499.64;2264.45;618.85;8105.72;22.0;0.0;10752.85;23261.97;11069.0;1288358.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;Em Exercício;PMDB;JÉSSICA SALES;1515;FEMININO;Solteiro(a);Médico;Branca;28/11/1980;37;Superior completo;150000.0;AC;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/AC/foto/10000000761.jpg;1/2/2015 ...;31.07
CARLOS AUGUSTO ANDRADE SILVA;PHS;PRTB / PHS / PPL / PMN / PEN / PSDC / PT do B / PSC / PSL / PPS;Eleito por média;6733;2.83;2313.61;0.0;199767.62;0.0;0.0;117907.37;42400.0;0.0;424177.98;264130.86;12318.24;158566.91;5318.47;0.0;0.0;708.2;58291.63;233.0;1286133.89;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;Administrador,Eletricitário;Em Exercício;PHS;CARLOS ANDRADE;3131;MASCULINO;Casado(a);Servidor Público Federal;Parda;26/09/1964;53;Superior completo;1030407.95;RR;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RR/foto/230000000167.jpg;1/2/2015 ...;31.07
LINDOMAR BARBOSA ALVES;PMDB;PMDB / PRTB / PC do B / PDT / PRP / PSB / PTB / PSL / PTN;Eleito por média;24146;3.02;0.0;0.0;263700.0;0.0;0.0;101058.0;40719.97;0.0;366150.0;310537.93;11376.0;91352.5;2474.63;0.0;0.0;49929.19;37666.69;0.0;1274964.91;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;Comerciante;Em Exercício;PV;LINDOMAR GARÇON;1521;MASCULINO;Casado(a);Comerciante;Parda;18/10/1969;48;Superior incompleto;458500.0;RO;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RO/foto/220000000239.jpg;1/2/2015 ...;31.07
WHERLES FERNANDES DA ROCHA;PSDB;PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT do B / SD;Eleito por QP;23466;5.88;9930.13;33000.0;122208.74;0.0;3583.27;109788.42;11800.0;4270.0;540908.17;351775.26;22880.68;23190.45;218.35;128.8;0.0;6048.09;34210.39;417.0;1274357.75;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;3;0;0;0;13;Bacharel  em Direito,Jornalista,Oficial da Polícia Militar;Em Exercício;PSDB;MAJOR ROCHA;4545;MASCULINO;Casado(a);Deputado;Branca;23/10/1968;49;Superior completo;430000.0;AC;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/AC/foto/10000000607.jpg;1/2/2015 ...;31.07
ZENAIDE MAIA CALADO PEREIRA DOS SANTOS;PR;PMDB / PR / PSB / PROS / PDT / SD / PSC / DEM / PV / PMN / PRP / PSDB / PSDC / PRB;Eleito por QP;134588;8.51;2014.91;0.0;97552.9;0.0;100.01;59332.58;292900.0;0.0;507200.0;196735.99;570.41;57398.22;4381.73;0.0;0.0;15645.29;40158.82;26.0;1274016.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3;Médica;Em Exercício;PR;DRA ZENAIDE MAIA;2222;FEMININO;Casado(a);Médico;Branca;27/11/1954;63;Superior completo;1455381.34;RN;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RN/foto/200000000135.jpg;1/2/2015 ...;31.07
DOMINGOS GOMES DE AGUIAR NETO;PROS;PRB / PP / PDT / PT / PTB / PSL / PHS / PSD / PC do B / SD / PROS;Eleito por QP;185226;4.24;0.0;111830.0;8000.0;0.0;0.0;78454.06;684753.57;0.0;196260.0;174591.93;706.54;264.5;2240.15;0.0;0.0;829.49;15809.06;0.0;1273739.3;0;2;0;0;0;0;0;0;4;1;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;0;0;17;Empresário;Em Exercício;PROS;DOMINGOS NETO;9090;MASCULINO;Solteiro(a);Deputado;Branca;29/04/1988;29;Superior incompleto;723976.77;CE;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/CE/foto/60000000779.jpg;1/2/2015 ...;31.07
LEONARDO CUNHA DE BRITO;PT;PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B;Eleito por QP;20876;5.23;9065.31;21970.0;176196.73;0.0;8133.0;146243.28;10250.0;0.0;257204.0;326872.06;21283.65;258099.18;1103.29;42.4;0.0;777.45;33829.28;2599.05;1273668.68;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;Advogado(a),Professor de Direito;Em Exercício;PT;LÉO DO PT;1331;MASCULINO;Casado(a);Advogado;Branca;13/04/1979;38;Superior completo;160507.58;AC;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/AC/foto/10000000163.jpg;1/2/2015 ...;31.07
