Partido Atual;Votação;% Válidos;Alimentação do parlamentar;Aluguel de aeronaves;Aluguel de carros;Aluguel de embarcações;Assinatura de publicações;Combustíveis e lubrificantes;Consultorias, pesquisas e trabalhos técnicos;Cursos, palestras ou eventos;Divulgação de atividade parlamentar;Emissão de bilhete aéreo;Hospedagem fora do DF;Manutenção de escritório;Passagens aéreas;Passagens terrestres ou marítimas;Segurança particular;Serviços postais;Telefonia;Táxi, pedágio e estacionamento;Total CEAP;ADMINISTRAÇÃO PÚBLICA;AGRICULTURA;ARTE E CULTURA;CIÊNCIA E TECNOLOGIA;COMUNICAÇÕES;COMÉRCIO EXTERIOR;DEFESA E SEGURANÇA NACIONAL;DESENVOLVIMENTO REGIONAL;DESENVOLVIMENTO URBANO E TRÂNSITO;DESPORTO E LAZER;DIREITO CIVIL E PROCESSUAL CIVIL;DIREITO CONSTITUCIONAL;DIREITO DO TRABALHO E PROCESSUAL DO TRABALHO;DIREITO E DEFESA DO CONSUMIDOR;DIREITO E JUSTIÇA;DIREITO PENAL E PROCESSUAL PENAL;DIREITOS HUMANOS;EDUCAÇÃO;FINANÇAS PÚBLICAS E ORÇAMENTO;HOMENAGENS E DATAS COMEMORATIVAS;INDÚSTRIA;INFORMÁTICA;MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL;ORGANIZAÇÃO ADMINISTRATIVA DO ESTADO;ORGANIZAÇÃO POLÍTICA;POLÍTICA ECONÔMICA;POLÍTICA FUNDIÁRIA;PREVIDÊNCIA E ASSISTÊNCIA SOCIAL;PROCESSO LEGISLATIVO;RECURSOS HÍDRICOS;RELAÇÕES INTERNACIONAIS;SAÚDE;SEGURANÇA PÚBLICA;SISTEMA FINANCEIRO;TRABALHO E EMPREGO;TRIBUTAÇÃO;TURISMO;VIAÇÃO E TRANSPORTES;TOTAL PROPOSICAO;Numero;Qtd
PMDB;7595134;238,10999999999999;215,7471681419479;238,55163947381516;3640,27313858442;5,119362980769231;41,22719569837297;2712,3917596964193;2334,9226021981835;25,883645833333333;7287,685989040083;7140,181596407461;264,0710030822403;2657,3169195253226;383,3190002545316;7,232176143899203;358,68773069554965;522,7449296653215;1777,4441531318053;62,61788486158597;29675,417895415063;0,05567320964060095;0,007061965811965811;0,01162044778892605;0,007211538461538462;0,015509237139671922;0,00040064102564102563;0,0012553418803418804;0,006490384615384615;0,034260565385214756;0,008482806444762965;0,02965935187168321;0,0013163919413919413;0,002874645515774548;0,027340975803307136;0,0037774725274725275;0,04171278600626427;0,06700410097149227;0,019556955725433985;0,006713217338217338;0,011108821733821734;0,021718559218559218;0,0;0,010203655040611563;0,0008585164835164835;0,007571733821733823;0,0;0,0016025641025641025;0,010550213675213674;0,00589514652014652;0,020505852842809365;0,0;0,06561736874236875;0,02903311965811966;0,0074290293040293045;0,027485020044627342;0,030011446886446882;0,00040064102564102563;0,007336973646580938;0,605250698641876;170,7590533627466;78
PT;7020059;170,94;232,6717050247497;289,04519933228596;3409,425154348394;0,43673041044776123;57,48582378083837;2798,3023958642334;2054,3257184624845;1,985806902985075;6434,282108730417;7766,376059249155;299,5845468503756;4526,726214972761;201,05797138815566;54,825299527208685;172,34639803698894;459,6256417811848;1878,960941968097;235,3314566548997;30872,795173285667;0,01825692963752665;0,008644664874385834;0,002184799685781618;0,0004664179104477612;0,00625;0,0;0,0006218905472636816;0,0013992537313432835;0,01243781094527363;0,009328358208955223;0,013215174129353233;0,0004664179104477612;0,0015547263681592038;0,0031094527363184077;0,0004664179104477612;0,008706467661691543;0,04198244028305676;0,011513157894736843;0,0013992537313432835;0,009550461975835109;0,0032649253731343282;0,0;0,011194029850746268;0,0;0,0004664179104477612;0,0;0,0018656716417910447;0,0065298507462686565;0,006245944192083063;0,0032649253731343282;0,0;0,009426083866382374;0,01166044776119403;0,0009328358208955224;0,005597014925373134;0,006840796019900498;0,0;0,017257462686567165;0,23610050231028581;125,89529057678266;67
PSDB;7371020;170,65;255,52825379351717;468,69541056034484;2958,340611805502;0,24191810344827586;75,1183793415792;2546,8027281926;3020,553760086272;5,576508620689655;5699,858090713776;6781,6139539648175;353,04014239820026;3735,7190893238862;639,4244572545708;7,33662176724138;308,62942887931035;580,1060837920325;2003,7174825525142;190,87799190514312;29631,180913055436;0,0331854162204612;0,00402811986863711;0,002227011494252873;0,0005387931034482759;0,006257183908045977;0,0005387931034482759;0,0005387931034482759;0,0016163793103448276;0,014547413793103448;0,003771551724137931;0,00610632183908046;0,0006157635467980296;0,0005387931034482759;0,005028735632183908;0,0017959770114942526;0,010416666666666666;0,021731321839080463;0,01820741415006782;0,007004310344827586;0,014696223316912971;0,005239567716141929;0,0005387931034482759;0,005926724137931034;0,0;0,011386494252873563;0,0005387931034482759;0,0005387931034482759;0,010416666666666666;0,005567528735632184;0,009549912543728134;0,0;0,016092400228457197;0,004849137931034483;0,005028735632183908;0,012751436781609194;0,019715588634254304;0,0010775862068965517;0,00445915435139573;0,2670682962090383;345,4917001523589;58
PP;5405680;134,71000000000004;276,27223248174033;486,9279674968717;4154,501142110391;1,6176470588235294;39,871759322217535;2649,9954037833418;3536,067932834489;9,191176470588236;7419,083771984226;7178,554468778686;284,69774636695945;3070,5199271643446;225,28518080090458;4,588288820366856;83,31589694211017;662,7133797876246;1497,1285371987208;143,52400856669925;31723,856467969104;0,03473583877995643;0,017973856209150325;0,003196962775552276;0,005759803921568628;0,021845497458242557;0,0012254901960784314;0,00261437908496732;0,0007262164124909223;0,046086860670194005;0,006731118373275236;0,01417748917748918;0,0019666199813258636;0,0060915128514749005;0,012931190994916483;0,004452614379084967;0,04619190268700072;0,054623459300088016;0,03177972802024036;0,005106209150326797;0,009074463118580765;0,016453005933556218;0,0;0,01491013071895425;0,00065359477124183;0,006214985994397759;0,0006127450980392157;0,01838235294117647;0,014828431372549017;0,003472222222222222;0,01391158315177923;0,00196078431372549;0,03354826996509476;0,007303013798111837;0,003472222222222222;0,01910532731611163;0,039752567693744155;0,00196078431372549;0,006711017740429504;0,5305442531090856;89,0326056946076;51
PR;4906758;132,89999999999998;295,31324404761904;498,80580357142856;4470,4330215419495;4,151785714285714;44,88952380952381;2783,571594033446;3234,0624340986396;2,6041666666666665;7917,5614487670055;6558,306436011906;341,8352529761904;3851,9154953231296;446,63965029761926;12,739605654761904;276,9141220238095;486,0739267998867;1516,6131349206353;175,88222470238074;32918,31287096087;0,03050595238095238;0,002976190476190476;0,002232142857142857;0,000744047619047619;0,004464285714285714;0,0;0,002232142857142857;0,003720238095238095;0,028273809523809524;0,005952380952380952;0,012152777777777776;0,000744047619047619;0,001488095238095238;0,006200396825396826;0,002976190476190476;0,05009920634920636;0,020833333333333332;0,013392857142857142;0,000744047619047619;0,013392857142857142;0,005208333333333333;0,000744047619047619;0,00248015873015873;0,000744047619047619;0,005952380952380952;0,0;0,000744047619047619;0,00744047619047619;0,001488095238095238;0,00818452380952381;0,000744047619047619;0,012648809523809524;0,01636904761904762;0,003720238095238095;0,017857142857142856;0,018601190476190476;0,000744047619047619;0,004464285714285714;0,31125992063492064;146,36639030612247;42
PSD;4089147;112,27000000000001;199,36961010944177;450,9964896214896;3830,8846560496136;55,3591907051282;51,0010945881042;2972,339822347524;5125,416387538743;12,10272435897436;7066,585337189519;6067,2296437921095;281,75789211803146;3079,524306176195;372,1145469909365;4,878416132478632;377,87410790598284;622,7013051131561;1576,713083690882;133,36296480869555;32280,211579237002;0,0525676246830093;0,010416666666666666;0,002403846153846154;0,0016025641025641025;0,03399725274725275;0,0;0,0008012820512820513;0,00641025641025641;0,035256410256410256;0,016826923076923076;0,016025641025641024;0,0;0,0008012820512820513;0,04223901098901099;0,002403846153846154;0,01694139194139194;0,04471916971916972;0,021329365079365076;0,005608974358974359;0,014423076923076924;0,020947802197802196;0,0;0,017628205128205128;0,0;0,008814102564102564;0,0;0,0016025641025641025;0,011485042735042736;0,005608974358974359;0,01201923076923077;0,0008012820512820513;0,026518620268620268;0,007211538461538462;0,015224358974358974;0,016826923076923076;0,024954212454212452;0,0016025641025641025;0,005036630036630037;0,5010566356720203;359,3205789402905;39
PSB;3531684;125,20000000000002;256,1526274764181;480,15680822649574;5002,44171360339;1,001602564102564;47,060631944444445;2799,120556860351;2703,3985461182333;24,06542467948718;6545,649419029364;6975,35733038408;311,8475144904115;3305,119541386854;583,5218495115996;9,671074189291101;74,83812499999999;625,9501170186021;1552,5677593236012;140,59452922322785;31438,51517102995;0,042521367521367516;0,003205128205128205;0,0016025641025641025;0,0008012820512820513;0,015224358974358974;0,0;0,0;0,0016025641025641025;0,016826923076923076;0,027243589743589744;0,020886752136752135;0,0;0,0008012820512820513;0,01282051282051282;0,002403846153846154;0,020032051282051284;0,015338827838827838;0,017742673992673992;0,003205128205128205;0,012133699633699634;0,003205128205128205;0,0;0,006463675213675213;0,0016025641025641025;0,002403846153846154;0,0016025641025641025;0,0;0,007211538461538462;0,008012820512820512;0,01614010989010989;0,0;0,019230769230769232;0,009615384615384616;0,007211538461538462;0,010416666666666666;0,023237179487179488;0,0008012820512820513;0,0016025641025641025;0,3331501831501832;295,09471812229157;39
DEM;3487633;93,83;320,3403681835638;249,8030303030303;3842,7369871089936;9,00530303030303;45,58342344819159;2477,5477950879763;4017,3303386834937;0,23168560606060606;7744,981405602686;6656,470771423916;195,2673633658008;2612,3779209578506;531,7294170536004;1,1921875;474,01147095959595;509,6295917120515;1480,652807626961;117,75524350649377;31286,64711116057;0,038825757575757576;0,005681818181818182;0,002840909090909091;0,000946969696969697;0,015182062561094818;0,000946969696969697;0,004103535353535353;0,003787878787878788;0,01893939393939394;0,007575757575757576;0,026515151515151516;0,000946969696969697;0,000946969696969697;0,020517676767676764;0,000946969696969697;0,04640151515151515;0,026785714285714284;0,018022971652003908;0,006628787878787879;0,006628787878787879;0,007575757575757576;0,0;0,01578282828282828;0,001893939393939394;0,010416666666666666;0,000946969696969697;0,000946969696969697;0,010416666666666666;0,007575757575757576;0,002840909090909091;0,000946969696969697;0,02809343434343434;0,03061868686868687;0,000946969696969697;0,019886363636363636;0,017992424242424244;0,003787878787878788;0,004734848484848485;0,4185766070846716;122,50233033095935;33
PDT;2077403;73,00999999999999;295,43469154648125;222,35730820105823;4630,905466857879;0,0;42,747838261648745;3043,958933403737;4019,93847844262;0,16276041666666666;7656,769088464326;7580,64071865622;195,51713819017755;2953,37060961546;350,766674630732;1,7836402529761906;540,8499146745393;564,4713340787142;1524,7677366582575;92,84585457469286;33717,28818692619;0,042906746031746025;0,016927083333333332;0,0026041666666666665;0,0;0,0013020833333333333;0,0013020833333333333;0,0;0,0078125;0,01760223765432099;0,006944444444444444;0,01450892857142857;0,0026041666666666665;0,004340277777777777;0,017210212564715253;0,00390625;0,0451113315696649;0,04497354497354498;0,0359416335978836;0,005883487654320987;0,015625;0,012152777777777778;0,0;0,0026041666666666665;0,0013440860215053762;0,022135416666666668;0,0;0,0;0,010416666666666666;0,011078709037378393;0,006696428571428571;0,0;0,022803681657848324;0,005394345238095237;0,005394345238095237;0,015418986815156167;0,022376543209876542;0,0;0,003948252688172043;0,42927058442851457;171,69709479184448;24
PRB;3640967;66,43999999999998;241,4152882495591;612,3097656250001;3954,1101982060186;2,5611979166666665;22,72690393518518;2487,7360071511234;4076,0592693176804;60,97699074074074;9150,29504719191;5897,614506379519;148,2207065007716;3945,7110832782187;254,9401012042549;19,450156250000003;48,626015625;435,4399885637126;1490,3088003610007;97,63101838073193;32946,13304487709;0,0234375;0,008053626543209876;0,0015432098765432098;0,0013020833333333333;0,006751543209876543;0,0;0,0026041666666666665;0,0013020833333333333;0,02212852733686067;0,0013020833333333333;0,009114583333333334;0,0013020833333333333;0,003038194444444444;0,025607638888888885;0,0;0,04060570987654321;0,0667851631393298;0,007998511904761904;0,0013020833333333333;0,0113260582010582;0,008246527777777778;0,0;0,009114583333333334;0,0;0,00544945987654321;0,0;0,0;0,0078125;0,004147376543209877;0,010416666666666666;0,0;0,013020833333333334;0,001736111111111111;0,006510416666666667;0,018229166666666668;0,015625;0,0;0,004340277777777777;0,34015376984126994;74,16174079585538;24
