"Seletores";"Cargo";"UF";"Qt VotosVálidos";"Qt Vagas  QE";"QE";"Legenda";"Qt VotosVálidos QP";"Qt VagasQP";"Qt VagasMédia";
"Eleição: Eleições Gerais 2014 - 1º Turno - 05/10/2014 Abrangência: Brasil - Cargo: Todos";"Deputado Federal";"AC";"399.201";"8";"49.900";"PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B";"205.333";"4";"1"
"";"";"";"399.201";"8";"49.900";"PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT do B / SD";"163.800";"3";"0"
"";"";"";"399.201";"8";"49.900";"PSOL";"637";"0";"0"
"";"";"";"399.201";"8";"49.900";"DEM / PV / PMN";"29.431";"0";"0"
"Subtotal";"";"";"1.596.804";"32";"199.600";"";"399.201";"7";"1"
"";"";"AL";"1.384.584";"9";"153.843";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"464.750";"3";"0"
"";"";"";"1.384.584";"9";"153.843";"PSDB / PRB";"212.364";"1";"0"
"";"";"";"1.384.584";"9";"153.843";"PRTB / PPL / PMN";"189.538";"1";"0"
"";"";"";"1.384.584";"9";"153.843";"PTC";"2.551";"0";"0"
"";"";"";"1.384.584";"9";"153.843";"PCB";"0";"0";"0"
"";"";"";"1.384.584";"9";"153.843";"PTN";"0";"0";"0"
"";"";"";"1.384.584";"9";"153.843";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"501.654";"3";"1"
"";"";"";"1.384.584";"9";"153.843";"PEN";"0";"0";"0"
"";"";"";"1.384.584";"9";"153.843";"PSOL / PSTU";"13.727";"0";"0"
"Subtotal";"";"";"12.461.256";"81";"1.384.587";"";"1.384.584";"8";"1"
"";"";"AM";"1.658.407";"8";"207.301";"PMN";"3.835";"0";"0"
"";"";"";"1.658.407";"8";"207.301";"PSTU";"1.656";"0";"0"
"";"";"";"1.658.407";"8";"207.301";"PCB";"1.258";"0";"0"
"";"";"";"1.658.407";"8";"207.301";"PROS / DEM / PSDB / PR / PTN / PSC / PT do B / PTC / PRTB / PEN / PV / PHS / PSL / PSD / SD";"897.274";"4";"1"
"";"";"";"1.658.407";"8";"207.301";"PRP";"13.777";"0";"0"
"";"";"";"1.658.407";"8";"207.301";"PMDB / PP / PT / PDT / PTB / PPS / PRB / PSDC / PPL / PC do B";"672.592";"3";"0"
"";"";"";"1.658.407";"8";"207.301";"PSB";"62.455";"0";"0"
"";"";"";"1.658.407";"8";"207.301";"PSOL";"5.560";"0";"0"
"Subtotal";"";"";"13.267.256";"64";"1.658.408";"";"1.658.407";"7";"1"
"";"";"AP";"386.084";"8";"48.260";"PP / PDT / PMDB";"96.182";"1";"1"
"";"";"";"386.084";"8";"48.260";"PSTU";"2.173";"0";"0"
"";"";"";"386.084";"8";"48.260";"DEM / PSDB / SD / PSD";"42.935";"0";"0"
"";"";"";"386.084";"8";"48.260";"PR / PRB / PHS / PROS / PSDC / PEN / PV / PT do B";"95.045";"1";"1"
"";"";"";"386.084";"8";"48.260";"PTB / PSC / PPS / PRTB / PMN / PTC / PRP / PPL";"65.677";"1";"1"
"";"";"";"386.084";"8";"48.260";"PSB / PT / PSOL / PC do B";"84.072";"1";"1"
"Subtotal";"";"";"2.316.504";"48";"289.560";"";"386.084";"4";"4"
"";"";"BA";"6.646.541";"39";"170.424";"PPS / PSDC / PTC / PV / PRP / PT do B";"257.147";"1";"0"
"";"";"";"6.646.541";"39";"170.424";"PSB / PSL / PPL";"294.682";"1";"0"
"";"";"";"6.646.541";"39";"170.424";"DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC";"2.330.970";"13";"1"
"";"";"";"6.646.541";"39";"170.424";"PSTU";"9.991";"0";"0"
"";"";"";"6.646.541";"39";"170.424";"PP / PDT / PT / PTB / PR / PSD / PC do B";"3.593.090";"21";"2"
"";"";"";"6.646.541";"39";"170.424";"PSOL";"53.225";"0";"0"
"";"";"";"6.646.541";"39";"170.424";"PRTB / PEN";"100.518";"0";"0"
"";"";"";"6.646.541";"39";"170.424";"PMN";"6.918";"0";"0"
"Subtotal";"";"";"53.172.328";"312";"1.363.392";"";"6.646.541";"36";"3"
"";"";"CE";"4.367.020";"22";"198.501";"PSB";"48.274";"0";"0"
"";"";"";"4.367.020";"22";"198.501";"DEM / PPS / PSDC / PTN";"490.205";"2";"0"
"";"";"";"4.367.020";"22";"198.501";"PMDB / PSC / PR / PRP / PSDB";"1.151.547";"5";"1"
"";"";"";"4.367.020";"22";"198.501";"PSTU / PCB / PSOL";"54.403";"0";"0"
"";"";"";"4.367.020";"22";"198.501";"PTC / PEN / PT do B / PRTB / PMN / PPL / PV";"173.151";"0";"0"
"";"";"";"4.367.020";"22";"198.501";"PRB / PP / PDT / PT / PTB / PSL / PHS / PSD / PC do B / SD / PROS";"2.449.440";"12";"2"
"Subtotal";"";"";"26.202.120";"132";"1.191.006";"";"4.367.020";"19";"3"
"";"";"DF";"1.454.063";"8";"181.758";"PSDB / PPS / PSDC";"231.287";"1";"0"
"";"";"";"1.454.063";"8";"181.758";"PSTU";"4.735";"0";"0"
"";"";"";"1.454.063";"8";"181.758";"PT / PRB / PC do B / PP / PSC / PROS";"391.055";"2";"0"
"";"";"";"1.454.063";"8";"181.758";"PSB / SD / PDT / PSD";"277.524";"1";"1"
"";"";"";"1.454.063";"8";"181.758";"PCO";"918";"0";"0"
"";"";"";"1.454.063";"8";"181.758";"PMDB / PT do B / PRP / PHS / PEN / PV / PTN / PPL / PSL / PTC";"255.459";"1";"0"
"";"";"";"1.454.063";"8";"181.758";"PR / PTB / PRTB / PMN / DEM";"272.576";"1";"1"
"";"";"";"1.454.063";"8";"181.758";"PSOL";"19.853";"0";"0"
"";"";"";"1.454.063";"8";"181.758";"PCB";"656";"0";"0"
"Subtotal";"";"";"13.086.567";"72";"1.635.822";"";"1.454.063";"6";"2"
"";"";"ES";"1.794.470";"10";"179.447";"PR / PSC / PPL / PT do B / PTC / PMN / PSDC / PC do B";"48.468";"0";"0"
"";"";"";"1.794.470";"10";"179.447";"PCB / PSTU";"1.631";"0";"0"
"";"";"";"1.794.470";"10";"179.447";"PSOL";"10.889";"0";"0"
"";"";"";"1.794.470";"10";"179.447";"PDT / PT";"430.091";"2";"1"
"";"";"";"1.794.470";"10";"179.447";"PRB / PP / PTB / PHS / PPS / PSD / PV";"287.447";"1";"1"
"";"";"";"1.794.470";"10";"179.447";"PRTB / PSB / PSL / PTN";"274.573";"1";"0"
"";"";"";"1.794.470";"10";"179.447";"PMDB / DEM / PSDB / SD / PROS";"688.837";"3";"1"
"";"";"";"1.794.470";"10";"179.447";"PRP / PEN";"52.534";"0";"0"
"Subtotal";"";"";"14.355.760";"80";"1.435.576";"";"1.794.470";"7";"3"
"";"";"GO";"3.032.760";"17";"178.398";"PSOL";"5.847";"0";"0"
"";"";"";"3.032.760";"17";"178.398";"PSB / PSC / PRP";"162.681";"0";"0"
"";"";"";"3.032.760";"17";"178.398";"PMDB / DEM / SD / PC do B / PRTB / PTN / PPL";"569.356";"3";"0"
"";"";"";"3.032.760";"17";"178.398";"PT";"280.901";"1";"0"
"";"";"";"3.032.760";"17";"178.398";"PSTU";"2.104";"0";"0"
"";"";"";"3.032.760";"17";"178.398";"PSDB / PP / PR / PSD / PTB / PDT / PPS / PROS / PRB";"2.008.437";"11";"2"
"";"";"";"3.032.760";"17";"178.398";"PSDC";"3.434";"0";"0"
"";"";"";"3.032.760";"17";"178.398";"PCB";"0";"0";"0"
"Subtotal";"";"";"24.262.080";"136";"1.427.184";"";"3.032.760";"15";"2"
"";"";"MA";"3.130.492";"18";"173.916";"PSL / PSDC / PRP / PTN / PRTB";"363.632";"2";"0"
"";"";"";"3.130.492";"18";"173.916";"PDT / PTC / PROS";"326.550";"1";"1"
"";"";"";"3.130.492";"18";"173.916";"PSOL";"7.501";"0";"0"
"";"";"";"3.130.492";"18";"173.916";"PPL";"5.969";"0";"0"
"";"";"";"3.130.492";"18";"173.916";"PEN / PMN / PHS / PSC / PT do B";"320.681";"1";"1"
"";"";"";"3.130.492";"18";"173.916";"PMDB / DEM / PTB / PV / PRB / PR";"1.005.832";"5";"1"
"";"";"";"3.130.492";"18";"173.916";"PSTU";"9.428";"0";"0"
"";"";"";"3.130.492";"18";"173.916";"PT / PSD";"273.844";"1";"0"
"";"";"";"3.130.492";"18";"173.916";"PCB";"3.637";"0";"0"
"";"";"";"3.130.492";"18";"173.916";"SD / PP / PC do B / PPS / PSDB / PSB";"813.418";"4";"1"
"Subtotal";"";"";"31.304.920";"180";"1.739.160";"";"3.130.492";"14";"4"
"";"";"MG";"10.135.045";"53";"191.227";"PT / PMDB / PC do B / PROS / PRB";"3.198.433";"16";"1"
"";"";"";"10.135.045";"53";"191.227";"PSB / PPL / PRTB";"566.836";"2";"1"
"";"";"";"10.135.045";"53";"191.227";"PCB";"15.552";"0";"0"
"";"";"";"10.135.045";"53";"191.227";"PCO";"4.390";"0";"0"
"";"";"";"10.135.045";"53";"191.227";"PSTU / PSOL";"74.928";"0";"0"
"";"";"";"10.135.045";"53";"191.227";"PTB / PMN";"497.523";"2";"0"
"";"";"";"10.135.045";"53";"191.227";"PSC / PTC / PSL";"380.518";"1";"1"
"";"";"";"10.135.045";"53";"191.227";"PTN / PSDC";"196.039";"1";"0"
"";"";"";"10.135.045";"53";"191.227";"DEM / PSDB / PP / PR / PSD / SD";"3.893.294";"20";"1"
"";"";"";"10.135.045";"53";"191.227";"PPS / PV / PDT";"592.308";"3";"0"
"";"";"";"10.135.045";"53";"191.227";"PT do B / PRP / PHS / PEN";"715.224";"3";"1"
"Subtotal";"";"";"111.485.495";"583";"2.103.497";"";"10.135.045";"48";"5"
"";"";"MS";"1.276.893";"8";"159.612";"PT / PR / PDT / PROS / PTC / PC do B / PTB / PSDC";"454.514";"2";"1"
"";"";"";"1.276.893";"8";"159.612";"PMDB / PSB / PRB / PTN / PEN / PSC";"494.349";"3";"0"
"";"";"";"1.276.893";"8";"159.612";"PT do B / PHS / PRTB";"13.220";"0";"0"
"";"";"";"1.276.893";"8";"159.612";"PP";"22.981";"0";"0"
"";"";"";"1.276.893";"8";"159.612";"PRP / PSL / PPL / PV";"19.338";"0";"0"
"";"";"";"1.276.893";"8";"159.612";"PSTU";"1.727";"0";"0"
"";"";"";"1.276.893";"8";"159.612";"PSOL";"5.844";"0";"0"
"";"";"";"1.276.893";"8";"159.612";"PSDB / DEM / PSD / SD / PPS / PMN";"264.920";"1";"1"
"Subtotal";"";"";"10.215.144";"64";"1.276.896";"";"1.276.893";"6";"2"
"";"";"MT";"1.454.612";"8";"181.826";"PHS / PMN";"10.347";"0";"0"
"";"";"";"1.454.612";"8";"181.826";"PSOL";"88.500";"0";"0"
"";"";"";"1.454.612";"8";"181.826";"PT do B";"3.229";"0";"0"
"";"";"";"1.454.612";"8";"181.826";"PC do B";"3.508";"0";"0"
"";"";"";"1.454.612";"8";"181.826";"PSD / PTC / PTN / PEN / PRTB / SD";"178.268";"0";"0"
"";"";"";"1.454.612";"8";"181.826";"PDT / PP / DEM / PSDB / PSB / PPS / PTB / PSC / PSL / PRB";"707.848";"3";"2"
"";"";"";"1.454.612";"8";"181.826";"PT / PMDB / PROS / PR";"462.912";"2";"1"
"Subtotal";"";"";"10.182.284";"56";"1.272.782";"";"1.454.612";"5";"3"
"";"";"PA";"3.756.049";"17";"220.944";"PV";"8.749";"0";"0"
"";"";"";"3.756.049";"17";"220.944";"PMDB / PT";"1.056.259";"4";"1"
"";"";"";"3.756.049";"17";"220.944";"PSDB / PSD / PSB / PP / PSC / PTB / PPS / PT do B / PTC";"1.416.400";"6";"1"
"";"";"";"3.756.049";"17";"220.944";"PCB";"1.031";"0";"0"
