Nome;Atuacao
ABEL MESQUITA JR.;1/2/2015 ...
ADAIL CARNEIRO;1/2/2015 até 17/11/2015, 15/4/2016 ...
ADALBERTO CAVALCANTI;1/2/2015 ...
ADELMO CARNEIRO LEÃO;6/3/2015 ...
ADELSON BARRETO;1/2/2015 ...
ADEMIR CAMILO;19/4/2016 ...
ADÉRMIS MARINI;2/1/2017 até 23/5/2017
ADILTON SACHETTI;1/2/2015 ...
AELTON FREITAS;1/2/2015 ...
AFONSO FLORENCE;1/2/2015 ...
AFONSO HAMM;1/2/2015 ...
AFONSO MOTTA;1/2/2015 ...
AGUINALDO RIBEIRO;1/2/2015 ...
ALAN RICK;1/2/2015 ...
ALBERTO FILHO;3/8/2017 ...
ALBERTO FRAGA;1/2/2015 ...
ALCEU MOREIRA;1/2/2015 ...
ALESSANDRO MOLON;1/2/2015 ...
ALEX CANZIANI;1/2/2015 ...
ALEX MANENTE;1/2/2015 ...
ALEXANDRE BALDY;1/2/2015 ...
ALEXANDRE LEITE;1/2/2015 ...
ALEXANDRE SERFIOTIS;1/2/2015 até 9/2/2015, 12/2/2015 até 15/12/2015, 22/12/2015 até 17/2/2016, 19/2/2016 ...
ALEXANDRE VALLE;1/2/2015 ...
ALFREDO KAEFER;1/2/2015 ...
ALFREDO NASCIMENTO;1/2/2015 ...
ALICE PORTUGAL;1/2/2015 ...
ALIEL MACHADO;1/2/2015 ...
ALTINEU CÔRTES;1/2/2015 ...
ALUISIO MENDES;1/2/2015 ...
ANA PERUGINI;1/2/2015 ...
ANDRÉ ABDON;1/2/2015 ...
ANDRÉ AMARAL;2/8/2016 até 30/11/2016, 1/1/2017 ...
ANDRÉ DE PAULA;1/2/2015 até 9/2/2015, 14/4/2016 até 20/4/2016, 12/7/2016 até 19/7/2016, 29/8/2016 ...
ANDRÉ FIGUEIREDO;1/2/2015 até 5/10/2015, 12/5/2016 ...
ANDRÉ FUFUCA;1/2/2015 até 20/6/2016, 19/10/2016 ...
ANDRE MOURA;1/2/2015 ...
ANDRES SANCHEZ;1/2/2015 ...
ANGELA ALBINO;28/10/2015 até 5/4/2016, 9/5/2016 até 13/7/2016, 19/7/2016 até 18/10/2016, 24/10/2016 até 4/1/2017
ANGELIM;1/2/2015 ...
ANÍBAL GOMES;1/2/2015 até 28/4/2016, 15/9/2016 ...
ANTONIO BRITO;1/2/2015 ...
ANTONIO BULHÕES;1/2/2015 ...
ANTONIO CARLOS MENDES THAME;3/2/2015 até 7/7/2015, 14/7/2015 até 19/10/2015, 21/10/2015 até 14/4/2016, 19/4/2016 até 19/10/2016, 21/10/2016 até 1/1/2017
ANTONIO IMBASSAHY;1/2/2015 até 3/2/2017, 2/8/2017 até 3/8/2017
ANTÔNIO JÁCOME;1/2/2015 ...
ARIOSTO HOLANDA;6/10/2015 até 12/5/2016, 1/1/2017 ...
ARLINDO CHINAGLIA;1/2/2015 ...
ARNALDO FARIA DE SÁ;1/2/2015 ...
ARNALDO JORDY;1/2/2015 ...
AROLDE DE OLIVEIRA;1/2/2015 até 6/2/2015, 27/2/2015 até 9/3/2015, 12/4/2016 até 27/4/2016, 29/11/2016 ...
ARTHUR LIRA;1/2/2015 ...
ARTHUR OLIVEIRA MAIA;1/2/2015 ...
ARTHUR VIRGÍLIO BISNETO;1/2/2015 ...
ASSIS CARVALHO;1/2/2015 ...
ASSIS DO COUTO;1/2/2015 ...
ASSIS MELO;2/1/2017 até 26/4/2017, 28/4/2017 até 2/8/2017, 3/8/2017 ...
ÁTILA LINS;1/2/2015 ...
ÁTILA LIRA;1/2/2015 ...
AUGUSTO CARVALHO;1/2/2015 ...
AUGUSTO COUTINHO;4/2/2015 até 1/1/2017
AUREO;1/2/2015 ...
BACELAR;1/2/2015 ...
BALEIA ROSSI;1/2/2015 ...
BEBETO;1/2/2015 ...
BENEDITA DA SILVA;1/2/2015 até 18/5/2016, 16/9/2016 ...
BENITO GAMA;1/2/2015 ...
BENJAMIN MARANHÃO;1/2/2015 ...
BETINHO GOMES;1/2/2015 ...
BETO FARO;1/2/2015 ...
BETO MANSUR;1/2/2015 ...
BETO ROSADO;1/2/2015 ...
BETO SALAME;1/2/2015 ...
BILAC PINTO;1/2/2015 ...
BOHN GASS;1/2/2015 ...
BONIFÁCIO DE ANDRADA;1/2/2015 ...
BRUNA FURLAN;1/2/2015 ...
BRUNNY;1/2/2015 ...
BRUNO COVAS;1/2/2015 até 1/1/2017
CABO DACIOLO;1/2/2015 ...
CABO SABINO;1/2/2015 ...
CABUÇU BORGES;1/2/2015 ...
CACÁ LEÃO;1/2/2015 ...
CAETANO;1/2/2015 ...
CAIO NARCIO;1/2/2015 ...
CAJAR NARDES;17/5/2016 até 2/1/2017
CAPITÃO AUGUSTO;1/2/2015 ...
CARLOS ANDRADE;1/2/2015 ...
CARLOS BEZERRA;1/2/2015 ...
CARLOS EDUARDO CADOCA;4/2/2015 até 14/4/2016, 20/4/2016 até 2/8/2017, 3/8/2017 ...
CARLOS GOMES;1/2/2015 ...
CARLOS HENRIQUE GAGUIM;1/2/2015 ...
CARLOS MANATO;1/2/2015 ...
CARLOS MARUN;1/2/2015 ...
CARLOS MELLES;1/2/2015 ...
CARLOS SAMPAIO;1/2/2015 ...
CARLOS ZARATTINI;1/2/2015 ...
CARMEN ZANOTTO;1/2/2015 ...
CÉLIO SILVEIRA;1/2/2015 ...
CELSO JACOB;10/2/2015 até 12/2/2015, 12/2/2015 até 24/2/2015, 9/3/2015 até 10/6/2015, 11/6/2015 até 14/4/2016, 22/4/2016 até 13/7/2016, 18/7/2016 até 1/1/2017
CELSO MALDANER;1/2/2015 ...
CELSO PANSERA;1/2/2015 até 5/10/2015, 14/4/2016 ...
CELSO RUSSOMANNO;1/2/2015 ...
CÉSAR HALUM;1/2/2015 ...
CÉSAR MESSIAS;1/2/2015 ...
CESAR SOUZA;1/2/2015 até 27/10/2015, 5/4/2016 até 9/5/2016, 13/7/2016 até 19/7/2016, 18/10/2016 até 24/10/2016, 31/1/2017 até 7/2/2017, 15/3/2017 ...
CHICO ALENCAR;1/2/2015 ...
CHICO D'ANGELO;1/2/2015 ...
CHICO LOPES;1/2/2015 ...
CHRISTIANE DE SOUZA YARED;1/2/2015 ...
CÍCERO ALMEIDA;1/2/2015 até 23/5/2016, 22/9/2016 ...
CLAUDIO CAJADO;1/2/2015 ...
CLEBER VERDE;1/2/2015 ...
CONCEIÇÃO SAMPAIO;1/2/2015 ...
COVATTI FILHO;1/2/2015 ...
CREUZA PEREIRA;17/5/2016 até 10/10/2016, 11/10/2016 até 25/10/2016, 26/10/2016 até 26/4/2017, 27/4/2017 até 2/8/2017, 3/8/2017 ...
CRISTIANE BRASIL;1/2/2015 ...
DAGOBERTO NOGUEIRA;1/2/2015 ...
DAMIÃO FELICIANO;1/2/2015 ...
DÂMINA PEREIRA;1/2/2015 ...
DANIEL ALMEIDA;1/2/2015 ...
DANIEL COELHO;1/2/2015 ...
DANIEL VILELA;1/2/2015 ...
DANILO CABRAL;1/2/2015 até 4/2/2015, 14/4/2016 até 20/4/2016, 31/5/2016 ...
DANILO FORTE;1/2/2015 ...
DANRLEI DE DEUS HINTERHOLZ;1/2/2015 ...
DARCÍSIO PERONDI;1/2/2015 ...
