Nome,Nome para Urna,Numero,Partido,Coligação,Situação,Votação,% Válidos,Sexo,Estado Civil,Ocupacao,Cor/Raça,Data Nasc.,Idade,Instrucao,Bens,UF,foto
ABEL SALVADOR MESQUITA JUNIOR,ABEL GALINHA,1234,PDT,PT / PDT / PV / PTC / PC do B,Eleito por QP,8.834,"3,71",MASCULINO,Casado(a),Empresário,Branca,29/03/1962,55,Superior incompleto,"1907500,00",RR,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RR/foto/230000000452.jpg
CARLOS AUGUSTO ANDRADE SILVA,CARLOS ANDRADE,3131,PHS,PRTB / PHS / PPL / PMN / PEN / PSDC / PT do B / PSC / PSL / PPS,Eleito por média,6.733,"2,83",MASCULINO,Casado(a),Servidor Público Federal,Parda,26/09/1964,53,Superior completo,"1030407,95",RR,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RR/foto/230000000167.jpg
EDIO VIEIRA LOPES,EDIO LOPES,1515,PMDB,PSDB / PR / PRB / PSD / SD / PROS / PRP / PMDB / PSB / PTN,Eleito por QP,15.290,"6,42",MASCULINO,Casado(a),Deputado,Preta,04/01/1952,65,Ensino Médio completo,"397738,28",RR,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RR/foto/230000000261.jpg
HIRAN MANUEL GONCALVES DA SILVA,DR. HIRAN GONÇALVES,3333,PMN,PRTB / PHS / PPL / PMN / PEN / PSDC / PT do B / PSC / PSL / PPS,Eleito por QP,9.048,"3,80",MASCULINO,Divorciado(a),Médico,Parda,19/06/1957,60,Superior completo,"765556,66",RR,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RR/foto/230000000181.jpg
JOHNATHAN PEREIRA DE JESUS,JOHNATHAN DE JESUS,1011,PRB,PSDB / PR / PRB / PSD / SD / PROS / PRP / PMDB / PSB / PTN,Eleito por QP,20.677,"8,68",MASCULINO,Solteiro(a),Deputado,Parda,03/09/1983,34,Superior completo,"629320,63",RR,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RR/foto/230000000264.jpg
MARIA HELENA VERONESE RODRIGUES,MARIA HELENA,4040,PSB,PSDB / PR / PRB / PSD / SD / PROS / PRP / PMDB / PSB / PTN,Eleito por média,7.481,"3,14",FEMININO,Casado(a),Advogado,Branca,15/06/1949,68,Superior completo,"2275212,85",RR,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RR/foto/230000000280.jpg
REMIDIO MONAI MONTESSI,REMIDIO DA AMATUR,2233,PR,PSDB / PR / PRB / PSD / SD / PROS / PRP / PMDB / PSB / PTN,Eleito por QP,15.492,"6,51",MASCULINO,Divorciado(a),Deputado,Branca,07/08/1966,51,Ensino Médio completo,"1640211,82",RR,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RR/foto/230000000268.jpg
SHERIDAN ESTERFANY OLIVEIRA DE ANCHIETA,SHÉRIDAN,4545,PSDB,PSDB / PR / PRB / PSD / SD / PROS / PRP / PMDB / PSB / PTN,Eleito por QP,35.555,"14,93",FEMININO,Casado(a),Psicólogo,Branca,11/04/1984,33,Superior completo,"2041673,01",RR,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RR/foto/230000000273.jpg
JOSE ADAIL CARNEIRO SILVA,ADAIL CARNEIRO,3131,PHS,PRB / PP / PDT / PT / PTB / PSL / PHS / PSD / PC do B / SD / PROS,Eleito por QP,113.885,"2,61",MASCULINO,Solteiro(a),Empresário,Branca,11/07/1963,54,Ensino Médio completo,"13180000,00",CE,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/CE/foto/60000000788.jpg
ANDRE PEIXOTO FIGUEIREDO LIMA,ANDRÉ FIGUEIREDO,1234,PDT,PRB / PP / PDT / PT / PTB / PSL / PHS / PSD / PC do B / SD / PROS,Eleito por QP,125.360,"2,87",MASCULINO,Divorciado(a),Economista,Branca,10/11/1966,51,Superior completo,"4344667,78",CE,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/CE/foto/60000000773.jpg
