idecadastro,Legislatura,Nome,Nome Parlamentar,Profissao,Situacao na Legislatura Atual,Sexo,UF,Partido
178957,55,ABEL SALVADOR MESQUITA JUNIOR,ABEL MESQUITA JR.,Empresário,Em Exercício,M,RR,DEM
178864,55,JOSE ADAIL CARNEIRO SILVA,ADAIL CARNEIRO,-,Em Exercício,M,CE,PODE
178914,55,ADALBERTO CAVALCANTI RODRIGUES,ADALBERTO CAVALCANTI,Administrador,Em Exercício,M,PE,AVANTE
178890,55,ADELMO CARNEIRO LEAO,ADELMO CARNEIRO LEÃO,Professor,Em Exercício,M,MG,PT
178968,55,ADELSON BARRETO DOS SANTOS,ADELSON BARRETO,"Comunicador, Jornalista",Em Exercício,M,SE,PR
133374,55,ADEMIR CAMILO PRATES RODRIGUES,ADEMIR CAMILO,"Administrador, Advogado, Médico, Médico, Médico",Suplência,M,MG,MDB
196359,55,ADERMIS MARINI JUNIOR,ADÉRMIS MARINI,"Administrador, Bancário, Economista, Empresário, Escrivão",Suplência,M,SP,PSDB
178903,55,ADILTON DOMINGOS SACHETTI,ADILTON SACHETTI,Arquiteto,Em Exercício,M,MT,PRB
141372,55,AELTON JOSÉ DE FREITAS,AELTON FREITAS,"Agricultor, Empresário, Engenheiro",Em Exercício,M,MG,PR
160508,55,AFONSO BANDEIRA FLORENCE,AFONSO FLORENCE,"Professor, Servidor Público",Em Exercício,M,BA,PT
136811,55,JOSÉ ALFONSO EBERT HAMM,AFONSO HAMM,Engenheiro,Em Exercício,M,RS,PP
178835,55,AFONSO ANTUNES DA MOTTA,AFONSO MOTTA,Advogado,Em Exercício,M,RS,PDT
160527,55,AGUINALDO VELLOSO BORGES RIBEIRO,AGUINALDO RIBEIRO,Administrador,Em Exercício,M,PB,PP
178836,55,ALAN RICK MIRANDA,ALAN RICK,"Administrador, Jornalista",Em Exercício,M,AC,DEM
160582,55,JOSÉ ALBERTO OLIVEIRA VELOSO FILHO,ALBERTO FILHO,Advogado,Suplência,M,MA,PP
73579,55,JOÃO ALBERTO FRAGA SILVA,ALBERTO FRAGA,Coronel da Polícia Militar,Em Exercício,M,DF,DEM
160559,55,ALCEU MOREIRA DA SILVA,ALCEU MOREIRA,Comerciário,Em Exercício,M,RS,MDB
160511,55,ALESSANDRO LUCCIOLA MOLON,ALESSANDRO MOLON,"Advogado, Professor",Em Exercício,M,RJ,PSB
73458,55,ALEX CANZIANI SILVEIRA,ALEX CANZIANI,Escriturário,Em Exercício,M,PR,PTB
178972,55,ALEX SPINELLI MANENTE,ALEX MANENTE,Advogado,Em Exercício,M,SP,PPS
178875,55,ALEXANDRE BALDY DE SANT'ANNA BRAGA,ALEXANDRE BALDY,-,Licenciado,M,GO,PP
160545,55,ALEXANDRE LEITE DA SILVA,ALEXANDRE LEITE,Empresário,Em Exercício,M,SP,DEM
178833,55,ALEXANDRE AUGUSTUS SERFIOTIS,ALEXANDRE SERFIOTIS,Médico,Em Exercício,M,RJ,PSD
178936,55,ALEXANDRE VALLE CARDOSO,ALEXANDRE VALLE,-,Em Exercício,M,RJ,PR
141454,55,JACOB ALFREDO STOFFELS KAEFER,ALFREDO KAEFER,-,Em Exercício,M,PR,PP
178846,55,ALFREDO PEREIRA DO NASCIMENTO,ALFREDO NASCIMENTO,-,Em Exercício,M,AM,PR
74057,55,ALICE MAZZUCO PORTUGAL,ALICE PORTUGAL,"Farmacêutico, Químico",Em Exercício,F,BA,PCdoB
